AverageReturn,MaximumReturn,MinimumReturn,TotalSamples,Iteration
-378.21261544768845,-347.8904693252534,-409.9248027729769,8000,
-427.19400575643266,-342.9862245155105,-502.2277198053703,12000,1
-248.3807266499732,26.661089676425853,-439.1273867015532,16000,2
1.3694412941053618,111.48272251431938,-337.52934306355957,20000,3
257.8082770243234,380.1878452833223,-188.0190062351167,24000,4
546.9379544793155,627.7590213340793,478.7359367051393,28000,5
929.1575143398082,1043.9866979939416,779.0657664400978,32000,6
1106.330518689488,1284.1196289153904,977.9677526375754,36000,7
1361.1652469868873,1655.6128897287556,503.2372171411369,40000,8
1625.1373590591504,1718.789916472582,1475.5587183983343,44000,9
1571.9396375860451,1793.3206449000843,1419.7611706505659,48000,10
1478.6870340596504,1711.6280092803925,517.0704731692042,52000,11
1702.879751781082,1860.8134516522625,1556.7264192810258,56000,12
1847.0767647405671,1915.2788598846769,1766.4516720645072,60000,13
1805.1982209805801,1928.9695432225242,1682.838283242395,64000,14
1792.8428934801495,1912.117249780945,1673.2851419956432,68000,15
1757.561253007827,1941.7660170263002,1582.6520813266472,72000,16
1364.025751485725,1904.7931651494641,-417.84755285048993,76000,17
1833.3825416043255,1930.8542772678181,1748.8659866957562,80000,18
1577.3530159864474,1920.8333261122348,291.7108007204363,84000,19
1740.405122348664,1850.1468863859977,1688.199956051079,88000,20
1726.2414796997,1795.5954234691808,1638.9327441100206,92000,21
1664.6118130322475,1824.0180877238843,1551.281858959585,96000,22
1599.829434108161,1936.5064748995655,246.8938035715754,100000,23
1766.1852864772543,1861.9589859283958,1640.773018204316,104000,24
1594.9843467538205,1972.747486682961,692.8908132243304,108000,25
1752.1041009051457,1877.2798992631201,1627.433297201205,112000,26
1722.651119844563,1838.4484589436609,1601.7482631166158,116000,27
1783.0215625638791,1918.100675046836,1516.3349902897312,120000,28
1772.9327924299803,1873.778021259726,1613.6414658663534,124000,29
1769.8083023026065,1834.512601650091,1692.6524567075498,128000,30
1814.4898399857673,1973.5516257728577,1677.9942882658193,132000,31
1638.5664654055956,1792.595084568911,1532.5990706065631,136000,32
