MaximumReturn,TotalSamples,AverageReturn,MinimumReturn,Iteration
106.62198831391254,8000,69.34118128154829,51.29132522480035,
336.60577063447715,12000,320.84101852249796,308.16057765316646,1
335.5273813673988,16000,323.4208736976264,310.26958729808723,2
306.1357468874931,20000,295.32604170514077,285.03557213168875,3
308.58606610476346,24000,302.77777521289516,295.1073492276179,4
307.3333428025324,28000,301.84065186877075,293.0893379808055,5
308.94624030098447,32000,297.33303697809976,291.8458561598375,6
299.63370364955676,36000,296.335287171679,292.33601000209745,7
308.0482938022932,40000,300.8727633109875,287.1929014445085,8
318.68587032180045,44000,310.89739079268116,303.66089587487375,9
325.90508895854066,48000,312.295822748489,304.1388000595887,10
313.8412140487163,52000,310.3027652034686,307.3149774590809,11
332.5945323337153,56000,320.34000351321663,308.38741826561005,12
328.08250768234865,60000,323.5512829567487,319.1006788527855,13
322.7652890747276,64000,316.6943475028034,311.53516967902596,14
315.46820020590513,68000,312.2322421399725,308.9918975803516,15
320.11041922758267,72000,312.4274494703862,308.4416282547661,16
321.04661664955745,76000,318.5109930183278,314.1166967117823,17
314.40023878363274,80000,311.432047234913,308.1136575353893,18
313.681281833095,84000,311.1980200352184,308.4172361926068,19
307.5602613045217,88000,303.1778492360335,296.0522374497763,20
301.3283724158197,92000,300.05321914928317,298.7727824772001,21
308.42120779171967,96000,305.8192753505961,303.87525903393,22
306.8365682472734,100000,302.01494365315693,298.88563394556604,23
306.7458832157129,104000,302.60505518284424,299.1706544004701,24
317.06991030791323,108000,308.84078767621804,301.43929039580246,25
308.54557842454415,112000,306.0848770987917,303.61915089981966,26
312.80829948678974,116000,310.20681535135435,306.43780262350066,27
307.04475123068033,120000,305.8080321813696,304.37587961649376,28
314.5966854422379,124000,310.00587338862266,306.0155723548417,29
317.0410139510876,128000,307.3714102006192,299.21846368170316,30
317.5764026995042,132000,311.47127477570376,306.1759435330517,31
302.1659505835155,136000,300.4502341954373,298.8167456859499,32
