AverageReturn,Iteration,MinimumReturn,MaximumReturn,TotalSamples
-2057.654902694105,,-2922.4337522802434,-1783.2216412028388,8000
-1453.5334812832436,1,-2144.059901982168,-724.8349928132066,12000
-1783.2047255180012,2,-1893.8825345521036,-1593.0797163854513,16000
-1787.1223438421546,3,-2096.1518299658514,-1251.479051382392,20000
-765.7017848743644,4,-1371.4944558798572,-6.4712391514052365,24000
367.9795948127142,5,88.31993863596632,1028.7161499134136,28000
485.42159409339394,6,-1394.7491925440165,1782.5802516785855,32000
678.6822598753484,7,-946.6835336644593,1605.7414873287655,36000
2020.6223011364098,8,1470.688746331667,2515.272553918534,40000
1628.9945914924676,9,671.5683341929096,2260.9059474168807,44000
1339.205215447194,10,187.57090760278396,2168.107211027465,48000
1167.9029258993305,11,278.2755433270043,1720.359015269677,52000
-170.90782584824024,12,-2847.954270695754,2066.02714820119,56000
1578.1175121963413,13,1123.8661280627261,1869.0267577836923,60000
1669.550698851074,14,997.4866069347631,2032.211914593423,64000
1116.6767354656133,15,-393.36588790702126,2343.6974364778293,68000
1036.1815601280464,16,137.76748396817058,1823.9871348304393,72000
559.3685261328238,17,-1373.4107092977392,2277.3478815158246,76000
188.47729918097275,18,-1253.6891525656192,2369.165851064878,80000
930.4378637544938,19,-1587.9193855085296,1751.467854653472,84000
1439.288471880065,20,-91.47330902134696,2100.7454972596097,88000
1769.5933989686298,21,835.0223713380383,2229.8129962194744,92000
1454.3128574147229,22,617.6732453321006,2402.3671537044156,96000
169.5186230549884,23,-1226.6782591363258,1626.9825136036604,100000
758.492263545676,24,-370.4869151439563,2045.3321995753054,104000
937.2933075224665,25,-1282.6562655427726,2186.6918448741617,108000
1331.6772450538963,26,19.408343570540037,1985.8978659473523,112000
1458.4887604955154,27,-834.3491050496847,2520.39010247472,116000
1547.4582511500166,28,-410.8130119488959,2297.0694904052066,120000
808.9824816522505,29,-1095.4926271633735,2092.777258394984,124000
1534.5713827378895,30,-26.89943931268133,2287.822994104781,128000
1759.2431054620292,31,-512.1729783871996,2451.175028721501,132000
1638.2595399726179,32,181.09592184819027,2050.076081065548,136000
