MinimumReturn,MaximumReturn,TotalSamples,AverageReturn,Iteration
104.49809163281094,198.6646195970026,6666,168.32801857163932,
130.74088139631462,198.57112526391154,9999,172.68278434159257,1
115.73704395936873,198.37194794112156,13332,158.58609284888934,2
115.08698332133055,199.0434573238714,16665,169.52561178413103,3
126.79434073945465,199.25511706084987,19998,161.1896414927739,4
124.07624744980833,198.8972627238939,23331,166.95993101841123,5
117.53765746282984,198.91940433967565,26664,171.12966385818382,6
116.94888792136832,199.2367395723724,29997,169.45608222222862,7
118.24044179876925,199.10347112811738,33330,172.08374142774133,8
122.02407827531758,199.03493098363725,36663,165.3432854096931,9
123.72894773705656,198.88725412682902,39996,171.8070842684592,10
125.3493782623715,197.01581490390024,43329,163.06058022338698,11
130.63190169692518,198.96781707281278,46662,167.40671807464258,12
124.88578333345102,198.90709186851328,49995,174.54718360744445,13
130.03485825003037,199.38768587739565,53328,180.47118768192388,14
126.31457368893159,198.73474038227164,56661,169.9915959184214,15
121.58579604720822,199.15626739745315,59994,166.21747739769026,16
115.86567875395187,199.25046587189695,63327,172.04618749127258,17
142.9337296862237,199.06155255689305,66660,176.92603899097128,18
118.78443690995854,198.9986116516873,69993,163.7112683735852,19
127.36424310437259,199.07872270758574,73326,170.57248296907102,20
122.11709166915428,199.00207307478564,76659,173.56584879160894,21
120.08236753581512,199.1046366785849,79992,163.0336816827125,22
109.27244058416278,199.1437043980479,83325,162.9720200365206,23
128.00023586024227,199.138127909954,86658,170.51623429831315,24
126.23821912789948,198.40656187915863,89991,169.74884639537763,25
111.09363042432948,199.2297309456561,93324,165.38201710100512,26
141.86197960295198,199.17787436327998,96657,174.33546359054216,27
121.04627516866994,198.95577321357672,99990,175.14791844350992,28
129.8395949319782,198.05824659140575,103323,174.74019573260364,29
97.83229943959714,198.99392833749,106656,164.51239041451407,30
124.64914813451762,199.24155780816616,109989,172.73568636597105,31
113.07403514882769,199.1618209571655,113322,178.25669158819088,32
121.10854658148969,199.16224975010613,116655,172.20220753531146,33
122.86429455320483,199.05071447638738,119988,161.98708179523092,34
127.51240346097667,199.17540050676772,123321,170.85162959079503,35
119.50034308162037,199.20806446079956,126654,172.077463372009,36
119.75056453743481,199.18904710569333,129987,173.44984329551608,37
117.00944708549137,199.0688708140515,133320,172.52708585580365,38
125.99495193708808,198.5924542883155,136653,174.4830285256282,39
