AverageReturn,TotalSamples,MinimumReturn,MaximumReturn,Iteration
14.9522798087552,8000,11.267051233941967,21.07231640635305,
51.872415023827635,12000,41.416288965117815,58.215661720686136,1
60.52368431607069,16000,47.52174041430561,70.00959827632374,2
47.11576348373412,20000,43.46531033327211,51.073978678932164,3
43.14205145010245,24000,34.85520835980172,55.42968319889927,4
58.15583292229181,28000,45.23406347059933,64.01106003297507,5
90.65148644759876,32000,85.1513099855549,95.88722116832292,6
200.88013601068192,36000,198.56280619258717,204.9545475934833,7
199.71152676042402,40000,191.27020595781713,209.04409379170667,8
260.47343302108476,44000,255.82561017447875,264.53477764904324,9
302.5784949167542,48000,299.70095983157216,307.34996181134153,10
322.5363620924195,52000,316.73723148846193,328.2337129998486,11
328.41584492118756,56000,326.93381446032134,329.71147676694204,12
337.21556948566445,60000,332.3048323914341,340.7388957788246,13
333.66313231308123,64000,330.9696734966902,337.9176031021258,14
342.21671256460763,68000,338.7655278376814,344.3426188773158,15
344.6513752894364,72000,340.2686091211882,347.6284583363127,16
346.19395475092097,76000,344.25302536748234,348.1850262741031,17
347.9927742727659,80000,344.2701374227356,351.5560978974842,18
346.3580871177453,84000,344.036463628252,348.1115354985967,19
349.24644523614523,88000,345.14539608318734,352.8162403476987,20
347.1533231376593,92000,345.5641845082066,349.9543742792328,21
343.96217573555833,96000,342.42488697665897,346.1162037822328,22
345.9356898587576,100000,342.59496997834856,348.35148594003306,23
345.63200171828277,104000,343.03382301779925,347.82609763603864,24
347.73819102279896,108000,344.4104525402596,349.84506939445043,25
348.17054376693636,112000,345.629365325567,350.40293887904454,26
347.92236576744153,116000,342.7882926887265,351.41964940965903,27
342.9263310918709,120000,340.34418415882107,345.96947573587806,28
344.66834225200677,124000,341.9504852620889,346.66066507691755,29
342.11803026692,128000,339.65612603743364,344.5262942603659,30
338.527939384178,132000,334.8655270916636,339.88239253146725,31
338.65656299340395,136000,335.60335262494505,342.40296227426217,32
