MinimumReturn,Iteration,MaximumReturn,TotalSamples,AverageReturn
-364.8496791800115,,-181.90798973055496,8000,-282.20962571411883
-107.04046195963504,1,46.39428842851161,12000,-34.49800592393863
-602.7381277428301,2,324.46114194914554,16000,-305.2877837736183
-469.07366275895976,3,176.99029631559588,20000,-217.38565395460955
-732.9064348054015,4,256.34873426631736,24000,6.079902507044584
-887.4561472456335,5,159.55246615165566,28000,-332.76996743890714
-792.9510829246386,6,121.6358430015455,32000,-242.04765333359077
-634.8727585546329,7,607.8468572664318,36000,196.15887492473757
-433.97242610591184,8,-48.99381371918729,40000,-195.07459362968743
-296.74446183106784,9,596.0174966632275,44000,5.108232860140579
-136.94625462613362,10,524.1911074517767,48000,179.69886618165503
-484.40147236534,11,-102.23237455537995,52000,-356.35748479015245
-270.5905958805328,12,563.6036897506915,56000,-17.441430046208783
-330.0729180410453,13,77.19442481505226,60000,-178.47950739444892
-514.4648060485412,14,-91.42335242266229,64000,-334.8712945605574
-525.6729256681648,15,1051.1190148590365,68000,459.7405794650595
-489.2876126638944,16,-26.57360770551492,72000,-259.95102856243517
-366.3198287193735,17,293.7142051476799,76000,-55.80745472532317
-395.1743706619523,18,667.807627056533,80000,21.720009205566225
-280.47173750645067,19,459.394978846692,84000,41.58347088435383
-306.20145731742724,20,634.8618427929398,88000,100.23147767410377
-444.41516664040614,21,53.3971054702263,92000,-273.28041729744723
-547.0820494898372,22,114.09679173148535,96000,-303.53644909033807
-471.80794655867004,23,423.645839976382,100000,-209.95163186930685
-579.436702771963,24,-10.01137632192778,104000,-432.4156487897699
-508.3760426495609,25,46.778482468857916,108000,-296.91876837496557
-431.9975400063953,26,921.7778714464054,112000,390.62218484096894
-519.2074042040949,27,1211.3060897541468,116000,595.8005735777701
-455.52557928085986,28,221.66811448294922,120000,-112.76586539168302
-459.7640520973517,29,180.98294075859363,124000,-224.32750046989645
-113.63343541721844,30,1170.1512197676504,128000,428.58064309845
-513.2203072562953,31,347.1156966678477,132000,-91.40110094258017
-503.3637894668245,32,608.7564199978173,136000,-55.30030087040618
