MinimumReturn,AverageReturn,TotalSamples,Iteration,MaximumReturn
-23.673548928010707,-7.371421454274135,8012,,10.007017147102301
-21.827723230652573,-6.728111593547245,12016,1,7.366387512716566
-18.046719690858044,-6.391111737827713,16023,2,10.083193779751962
-23.589184832172094,-6.5126843176415665,20023,3,10.785772399919145
-17.053493646436173,-6.490997457932187,24027,4,1.153593549670591
-17.174409120687432,-6.7045330698212275,28030,5,2.0277948595615802
-18.163523824097478,-6.5563385041758435,32032,6,6.389395363495183
-20.112209982673495,-6.4899328565915875,36035,7,0.9241052561683252
-17.593234947165634,-6.243417544229287,40041,8,1.2249725288827273
-18.510321424653068,-6.337005817322497,44043,9,1.407412494836755
-16.055232630921104,-6.009880085994907,48047,10,2.9165627440410926
-14.014503782280709,-5.98863076389087,52053,11,4.925299430612259
-20.262248040838223,-6.102114826606008,56054,12,9.394553984966885
-15.960601566408478,-6.249476035479799,60056,13,2.7102636565274656
-16.209396916365453,-6.323332770623482,64061,14,1.0839426508853944
-17.767942821676687,-6.50935169805318,68062,15,2.898715828829621
-16.234089688171853,-6.334856185145668,72062,16,1.4600002532037326
-15.113386247614365,-6.319569072809785,76066,17,1.43413596563034
-20.16893047319135,-6.339221245857096,80070,18,3.2939774542142715
-20.564119235145235,-6.379018250338338,84070,19,2.361335257553425
-17.96604791189717,-6.402936126852962,88070,20,1.665191824188847
-18.822673042177286,-6.4483356371679355,92074,21,1.2585602169464547
-16.503334024209217,-6.502537271578682,96075,22,0.9450079726019063
-16.127835256222557,-6.516343896507488,100075,23,5.153758519437354
-16.521405389811868,-6.316590726441903,104078,24,1.195990900288123
-16.13809546526103,-6.455330244079557,108080,25,1.1307732413542548
-15.681212321530678,-6.2858230957983565,112080,26,1.2710070248350784
-17.543250516417192,-6.387079586645177,116082,27,3.183887930764353
-20.945369899364493,-6.414462361255306,120090,28,1.016437116030291
-17.881202227262254,-6.412044686062195,124095,29,0.45377931693506035
-17.363137402987388,-6.312641671872391,128095,30,1.3382291049777533
-20.901585256685298,-6.45659935114978,132095,31,1.18147884816489
-16.266455197433896,-6.097283528627152,136095,32,4.655750048418678
