MinimumReturn,MaximumReturn,AverageReturn,TotalSamples,Iteration
-23.222051501407304,5.694751054548725,-7.610156045256086,8009,
-23.04394392972488,2.955468068458647,-7.276037735491463,12010,1
-19.187493912271286,13.895918305289001,-6.742933741941339,16018,2
-17.838414674463458,6.306705263120675,-6.097730051938736,20022,3
-20.122000298768782,2.4425634375539014,-6.275012592014075,24025,4
-16.03884734992959,3.2902147971623217,-6.182404169156472,28028,5
-22.04293047515845,1.2124816860745398,-5.93787845566275,32033,6
-18.862212596742683,2.9303932989738883,-5.832458231202689,36037,7
-23.96729235133605,1.7433152955934754,-5.748781546221408,40041,8
-18.028705125556172,3.31096711889563,-5.920246089546737,44045,9
-16.623163294409345,4.478501522866107,-5.872553632765311,48051,10
-16.65414958146863,3.3078943480976832,-5.94576410386202,52057,11
-17.912942404857038,1.5969185012704785,-5.966474812216137,56061,12
-15.701814494410261,2.583151815642765,-5.771094288943451,60061,13
-17.256841710982012,2.3965987336587857,-6.047046693036262,64066,14
-17.416496906970572,0.9298916650731031,-5.973022168344569,68071,15
-16.457877813567574,6.573457311177215,-5.884142893438117,72075,16
-20.39756418444997,4.4813349187832445,-5.8451511301635195,76077,17
-16.203972068132607,2.0312378675247853,-5.7142909966606465,80077,18
-18.57372139685734,9.746352388983674,-5.607421579017501,84079,19
-16.06049494980867,4.462890627108612,-5.590645663352446,88085,20
-18.630320754662783,3.667631261968107,-5.535472256654284,92091,21
-16.6290876792669,3.657741385153173,-5.507292429493405,96094,22
-14.731104266998402,1.5465108266438157,-5.435402733718758,100096,23
-15.187299346705682,2.867974240558164,-5.527792530032869,104098,24
-16.82494182193785,2.0388212719066714,-5.399688253629786,108102,25
-14.743845068598471,6.064556433858663,-5.3081383359940855,112103,26
-19.937906675912252,3.5983819008991755,-5.437637619839665,116111,27
-18.98733204069539,3.481479771308809,-5.36239717312762,120115,28
-16.74022763104086,1.2969808598081307,-5.401039776637688,124116,29
-14.558210498985726,2.888228173680329,-5.498331041298151,128116,30
-17.510278860669164,2.6069536478888824,-5.291601460590207,132118,31
-15.481551963396038,1.9439128210363958,-5.617779781229196,136120,32
