TotalSamples,MaximumReturn,Iteration,AverageReturn,MinimumReturn
8025,9.670176680130991,,-9.820519722432763,-26.297419512936127
12031,0.8368971641110319,1,-7.4162665746909795,-22.09997436089531
16032,0.9749651119402687,2,-6.76859541320789,-16.315949962688
20038,-1.6242820143608083,3,-6.980282195636301,-17.629783493154996
24039,-0.5318519150745025,4,-6.880622707889542,-20.265065394443507
28039,-0.10674848665842362,5,-6.902825833778847,-18.533125414916515
32039,1.042799785124131,6,-6.810743093155101,-19.72090246370494
36041,0.06502722043663667,7,-6.651402000274438,-14.415474475262702
40044,-1.0295166954454276,8,-6.78428587693767,-16.684207772457412
44044,0.964053905910859,9,-6.559481729534644,-20.288636753612245
48048,-1.3038084934377143,10,-6.799919433360894,-20.31181739914294
52054,1.3710857417865148,11,-6.432305770152706,-15.606225715053293
56057,-0.3030598858689624,12,-6.341481171179854,-13.975557098723975
60059,-1.1990267468793923,13,-6.582617279548014,-17.8367708612832
64061,2.2347275633337342,14,-6.685191606482181,-15.061459472877974
68061,-1.943128832792629,15,-6.6363158765443115,-14.372616958552916
72067,-0.5491590528309094,16,-6.681651047032477,-18.418578884073344
76069,0.9685666382581726,17,-6.987792822675731,-17.63207914244961
80073,-1.1162779224726407,18,-6.87500462142299,-19.796694673833866
84078,-1.7329203838235885,19,-7.04545212618411,-17.70485121556717
88082,0.6469230628923772,20,-7.03026663193295,-17.446662103997003
92088,-1.5176591718423704,21,-6.878257785637676,-15.231194304182031
96090,-0.02075374767548288,22,-6.958419432379591,-14.487273806556201
100091,-1.8819271530470505,23,-6.927586146892933,-15.251503209538235
104095,0.0058748459580670875,24,-6.8750423682412185,-17.144088566627833
108095,0.19902481248024184,25,-7.087814751892847,-20.013190324969383
112100,-0.9486623301400985,26,-6.8425362440714395,-17.527649136176983
116101,-0.7009470939634195,27,-6.6995544592920435,-17.08622487065484
120103,-1.2515657184045934,28,-6.862062714548588,-14.554968658933893
124107,-2.070272897375884,29,-6.776966455661286,-13.419174673791758
128111,-0.6621301101675785,30,-6.796879836956719,-17.896356836113274
132111,-2.3010542495412403,31,-6.860124085019979,-15.962342774690493
136112,-2.0696844383288053,32,-6.846806753012226,-19.284743760089953
