MinimumReturn,Iteration,AverageReturn,MaximumReturn,TotalSamples
-448.46656889576406,,-383.6139787841732,-310.1689380885995,8000
-164.58120837077854,1,-19.907223873288533,64.95020156744408,12000
-143.24719458827133,2,143.8162491987298,314.47297050998793,16000
349.84368564473664,3,394.01358394574237,474.9066375554125,20000
471.49585623530123,4,541.2609425138481,592.7799611947738,24000
672.425524217495,5,712.1936955660972,780.3761032683365,28000
157.70951155112272,6,718.077386467373,887.0993542161215,32000
36.723546471201416,7,686.8213369063274,843.4628941341414,36000
-424.52538940739436,8,685.9810596222029,965.2845631596006,40000
887.0709385044418,9,914.2529212501107,955.368739771987,44000
148.49489091850526,10,746.9502530535016,927.8272386872522,48000
902.041844819515,11,969.8350267951099,1017.0581421476827,52000
896.833038173806,12,928.2245765857168,976.5925474109678,56000
832.2043463167047,13,907.1821165369588,985.7943885763912,60000
886.249104996279,14,1009.6890297228432,1076.5688750664335,64000
935.1118508248233,15,977.9813259859849,1047.2806657301928,68000
576.8845252871996,16,924.6034793344546,1078.4098156720754,72000
924.0074674363981,17,985.0935102523919,1059.1199665252702,76000
-268.50630638167377,18,823.9025933503366,1065.6231130380386,80000
976.3167908169933,19,1051.8014653890261,1102.589839239648,84000
945.7299107071442,20,1059.7621344886904,1159.483985367796,88000
914.4598798662403,21,1038.9358047468613,1120.5267552847595,92000
392.06937345097424,22,915.1267831053036,1157.9823028657588,96000
905.8023480654887,23,1007.7533883067596,1089.4926205045122,100000
994.603716896573,24,1053.983753775767,1181.1108078054222,104000
938.1085180842886,25,1077.4692673986156,1165.00367427897,108000
898.8616875893154,26,1047.1813427993372,1123.815956207679,112000
735.9175096761064,27,1024.2193760242637,1175.3224607500354,116000
945.839810781977,28,1074.7009635881218,1136.4286670662727,120000
909.328666261765,29,1034.732753068629,1098.6802743494775,124000
-273.8312877398338,30,836.1721526024643,1148.4206620628784,128000
-332.6155008936306,31,714.9105638914662,1224.7184613560316,132000
721.8684589941099,32,1093.7182596001292,1214.2105907098849,136000
