MaximumReturn,Iteration,AverageReturn,TotalSamples,MinimumReturn
3.444756897694138,,-7.1899292981288205,8000,-16.373527551378963
15.90894191246203,1,-3.0150398598357384,12000,-17.184721436840665
17.71475393967592,2,-1.0904329818757477,16000,-24.293836767652746
17.509742031277366,3,1.781256304208913,20000,-27.418442354274596
15.741640968403088,4,-5.55417531180348,24000,-24.0539716403571
15.760022770916521,5,1.4341271809636116,28000,-16.91269636886153
12.083876668144624,6,-8.979863734620901,32000,-25.068876912120892
14.217422311463118,7,3.2014022310678167,36000,-20.67639441515255
16.66922618050318,8,-10.687230242217092,40000,-18.621293943695598
18.853737111602506,9,-0.6435726527004633,44000,-16.340264925492587
15.704390416350957,10,-7.06976348507762,48000,-21.398847037821696
16.045482429077676,11,-10.008075967239664,52000,-23.50684755947462
18.096341042127584,12,-7.934860868749751,56000,-21.950210348111014
17.387109660525315,13,-2.0698031008805433,60000,-24.053382432567528
2.845456351471058,14,-16.625323482959733,64000,-24.45585335820563
12.834638295715848,15,-0.1593340704388373,68000,-23.2092137156546
11.022071942586132,16,-5.5325942446101335,72000,-16.243417632813244
15.110903535779267,17,-9.757830415182092,76000,-26.53645233628969
13.811667524017166,18,-1.072547833772118,80000,-22.157528289175744
17.102428078227625,19,0.775723541234307,84000,-15.147233982073939
19.47304103855584,20,3.0702548629396773,88000,-20.011083528710394
20.30087339750992,21,-0.506274951696485,92000,-21.42612999664341
21.064651127951596,22,-1.999466652262668,96000,-24.4807372302283
18.591428505784872,23,-7.3261296383516195,100000,-23.47627780453303
19.73006977107551,24,-8.308859533476758,104000,-24.37603522317405
16.868158040479422,25,3.3404038234254845,108000,-22.9778229007366
8.727974751802538,26,-9.173857786893931,112000,-23.10531719769578
16.72088457526374,27,-1.898242251212679,116000,-18.446440456426956
21.10767556989877,28,-8.164507373010297,120000,-24.10452632438409
18.472004415305317,29,6.07171387356651,124000,-12.206545978814042
19.592443937620086,30,-4.810302711754077,128000,-20.453885654613927
20.035551621548375,31,10.051715926964055,132000,-19.39031381323317
-10.43220965498868,32,-17.981362155843993,136000,-22.177383647439264
