AverageReturn,TotalSamples,MinimumReturn,MaximumReturn,Iteration
0.8357273398277597,8000,-6.320517309114479,5.965751324831569,
3.073269809000509,12000,-3.3843923482603273,10.246487164541454,1
2.43678415231441,16000,-3.390868970301927,7.630492406186606,2
15.545423424787211,20000,4.214714307760005,27.238226995661567,3
43.107466310569,24000,36.72802889780112,46.64907690155365,4
37.93610486629166,28000,34.65534297327981,40.21481172892177,5
102.60947963989572,32000,98.58174665025504,105.72627642153054,6
191.74637951842647,36000,182.21493820599068,201.25131246904874,7
237.86087145247106,40000,232.96189499680347,243.4219388619213,8
270.12970808029434,44000,267.8963665466953,274.97749084390705,9
274.47100079774697,48000,270.1821304133131,279.1895853873407,10
290.5300759454771,52000,284.96104669236036,294.3438864127861,11
289.1817895922507,56000,284.4883094075233,295.6431330871667,12
291.2265969178089,60000,286.88931531556847,294.6990148522736,13
303.6714948845988,64000,299.6331107973971,308.87539028290354,14
295.180465729771,68000,290.4516321581528,300.143580038002,15
306.28829669346885,72000,302.24327542116333,310.609291157028,16
310.23510531893777,76000,300.35620614491205,316.02998707767574,17
310.5620309840678,80000,305.03319217588154,314.04708979582523,18
313.8713155928769,84000,310.1444134861691,317.4745140629029,19
301.9409144761226,88000,295.6707798771587,308.67464925961986,20
316.95929412115663,92000,310.24896232815667,322.27041771562176,21
326.8612494985484,96000,323.0793171779653,329.37841738151184,22
325.6683413294792,100000,320.9188272299717,329.74001771610875,23
309.2632268040261,104000,302.8869586781696,314.7328418858133,24
295.188586339236,108000,291.0043904937592,301.6379952252561,25
294.57942765788835,112000,287.3196856929715,299.8645100880555,26
310.1379789513798,116000,306.84759403425977,313.4993274189627,27
329.6340966970426,120000,323.94984757501027,334.69345742973724,28
316.06274480760334,124000,314.34360085350306,317.78928734503495,29
324.7470198701456,128000,321.11002980362133,329.13380571646496,30
299.162329205362,132000,292.5710133785071,306.7179571023763,31
324.19123639942484,136000,320.10013174906277,327.4845779496363,32
