MaximumReturn,TotalSamples,AverageReturn,MinimumReturn,Iteration
25.941605320427033,8000,11.960592487467517,-1.5577964513226508,
62.95139939772023,12000,53.940477272898,48.86122801431763,1
49.59273083881833,16000,37.82651040641745,29.45303354492599,2
177.36827396765435,20000,167.1391734514331,158.55171869864012,3
218.9403887167242,24000,203.6057894891494,196.83110731394837,4
214.4740461787406,28000,206.68687553089217,201.43867373333606,5
228.75798177714466,32000,226.04448226209095,222.53879409486424,6
253.4827784427817,36000,244.70097779788162,233.09622296817375,7
284.75425972489074,40000,279.8109216371742,276.18855097011544,8
304.49279384092813,44000,302.40742551858597,298.8634648702864,9
311.3577652051464,48000,305.13809319150477,297.12491450135883,10
305.90563499549614,52000,301.43346021229195,298.6121011466442,11
305.6912174025598,56000,301.46678250211374,298.05315769456416,12
310.7289009974962,60000,304.88086078003954,299.0298344813047,13
306.910787636536,64000,303.53199085991645,299.493961054863,14
299.7441417245122,68000,294.7402546298314,288.5347398629343,15
302.5765937596996,72000,295.45648069591886,287.86628840695903,16
306.44513887732563,76000,300.9847364104351,294.45987064092617,17
312.77780889984393,80000,306.9328466288895,303.543559062566,18
314.57792681446597,84000,308.2069498700152,299.20881663510954,19
313.00755245212537,88000,307.86858177315145,304.4961098812553,20
324.7858483154988,92000,319.72124180817565,316.29991226581285,21
339.61295747563514,96000,335.2800597560934,327.7975334398965,22
339.84408325382446,100000,330.99721930358646,322.0044088584927,23
346.45865316835926,104000,340.08722511953596,327.3121778826623,24
347.6262167013179,108000,341.5861878026647,336.2925031502192,25
344.5845290014802,112000,339.1886739375199,333.39833107921123,26
340.19577900739944,116000,336.84389305562723,331.44400223757975,27
343.0097750844667,120000,337.1651855182347,329.1514381990819,28
340.0614840628101,124000,335.40059030880724,329.12350607995796,29
341.80790161520883,128000,338.39569492253673,331.86043457112066,30
342.0173503100609,132000,338.7228625783284,329.70372661106245,31
338.9715668342671,136000,335.2372064937769,330.93432047514904,32
