MinimumReturn,Iteration,MaximumReturn,TotalSamples,AverageReturn
-335.03712144501276,,-229.87781378413015,8000,-277.3412766345846
-524.2755629999335,1,-406.06305893399036,12000,-464.4771144844221
-361.567499462344,2,-170.98296784927862,16000,-247.34581620910714
-394.31565332723034,3,33.45936177173768,20000,-171.3002548514605
-435.9144063288572,4,202.47431876638916,24000,-49.57394071196049
-588.1997462758235,5,267.6381945703801,28000,-271.98367692898245
-755.8407195477848,6,-523.1255567891344,32000,-636.63902359308
-694.2371357342523,7,650.0654858086051,36000,-400.7819445075539
-598.1630006996426,8,1027.5508046979332,40000,-172.45012871150803
-506.1450906150884,9,711.4407495349806,44000,80.0399095152611
-533.8930839897948,10,958.0267604875353,48000,256.2187464153767
-519.8383153547555,11,544.771854951989,52000,-107.43473545770047
-299.7328416686332,12,518.4049779224359,56000,143.71248084560972
-32.38714623396371,13,1036.9054891050268,60000,544.6870817781402
-672.1174493275478,14,900.1237624808842,64000,55.59171418535673
-322.8642936115328,15,886.994429874601,68000,210.39228797974147
-735.1434850856564,16,890.5506126123518,72000,298.90134511240313
-285.12024203095893,17,1321.230696628173,76000,409.70161194216763
-673.1562067557846,18,1449.6980951115534,80000,252.15460159149248
-830.6992284086618,19,1140.133868468128,84000,220.45151619991725
-767.1748958243516,20,1305.7855560773658,88000,36.936316171862195
-588.3385160878956,21,1483.6675155685466,92000,206.30893830504544
-259.0031771001846,22,1259.9925682265648,96000,533.1808468511512
-627.1397114877052,23,1649.9562514390057,100000,587.1365355900397
-692.530535788087,24,400.192840954917,104000,-226.50892801986674
-763.699793053122,25,1454.4739112895588,108000,288.2936521764354
-156.9516932165096,26,1334.893409093993,112000,251.6955586138723
-626.5626399404708,27,1781.4467448420116,116000,689.9587388178142
-219.26960816352482,28,717.1316764056587,120000,67.12914561418451
-416.3454756967809,29,1574.4696457183034,124000,371.21310552001205
-554.7954931843508,30,1646.8877562790747,128000,243.14918270350233
-769.4869859021142,31,429.2567177936768,132000,-218.87215971296993
-704.4114642661658,32,1788.3896105798387,136000,673.301880613754
