MinimumReturn,TotalSamples,Iteration,MaximumReturn,AverageReturn
116.31577087375162,6666,,199.0736824252872,171.1265315659772
118.44082126671445,9999,1,199.0100536869748,180.75472077968675
122.2199873561316,13332,2,198.51342152456536,169.16226852159693
123.14345188047919,16665,3,199.01023941181268,167.62396939711323
122.33333770719699,19998,4,199.30460966306967,175.5887205875137
118.00047500417517,23331,5,198.77558135063475,172.03444012022916
120.76585880991091,26664,6,199.00081189546552,178.39882907870236
128.96323924031333,29997,7,199.05814570020453,176.83359681411264
118.72974399386074,33330,8,198.91294096071616,158.68334596316382
114.06618936732829,36663,9,198.62256154510214,175.47283469846684
127.47073827645242,39996,10,198.96775763595159,175.26963183730263
127.36814512926387,43329,11,199.23324535655973,171.43254764001557
120.89667404526828,46662,12,199.26335801529842,168.9459663556019
129.47463382725982,49995,13,199.27064071660106,166.87805699491682
131.61535269829346,53328,14,199.29000317725303,169.2133533768928
126.5189566478387,56661,15,199.27934440829577,173.27547722906505
121.83433449097797,59994,16,199.10758853760086,176.29544969816172
123.8458189651156,63327,17,198.0640724012445,178.3915538851486
132.52094735249847,66660,18,198.5134985303713,170.4431788844694
112.03412009085471,69993,19,199.28219568663008,169.31358224003426
122.02072670332116,73326,20,199.09811829634268,174.7801290748301
116.56851504852384,76659,21,199.17558053686304,169.07086313499357
127.22011847785349,79992,22,199.2222921797487,168.44717516037622
114.52562874853685,83325,23,199.14183407446274,160.1481500296317
128.3551167507086,86658,24,199.10789634368123,176.49678583080086
125.4950048361733,89991,25,199.12194697775138,168.1598985340604
118.83269641654152,93324,26,197.91867809393202,155.48978232637566
123.75381964530466,96657,27,198.9905123236787,171.86891306703876
112.95238606601517,99990,28,199.237752675761,167.4553648960656
118.82457764734689,103323,29,198.96396907678414,165.1585937385251
111.38017069122034,106656,30,199.24284014142154,169.90753611153295
113.83597368902457,109989,31,199.3413029855798,174.84677415805584
117.47438459971313,113322,32,199.0812702867797,173.08510158256647
119.66452351299338,116655,33,198.52760520482303,172.28032879211773
125.80997117435257,119988,34,199.07055891125694,171.76506642501568
124.27909424350644,123321,35,199.0180695023923,174.18762426600978
128.53105737805802,126654,36,199.01012577222986,173.61236339247316
129.4601240120289,129987,37,197.46006336303216,167.38183646246034
130.18429327388444,133320,38,199.0766556370477,174.3583848747057
126.23903713620291,136653,39,199.08930258845402,169.60141038020612
