AverageReturn,Iteration,MinimumReturn,TotalSamples,MaximumReturn
-2520.313083251223,,-2536.592519829562,8000,-2494.737489606032
-2463.082801066196,1,-2488.017676776737,12000,-2447.3976620917197
-2385.4474543841525,2,-2487.2246888375976,16000,-2172.4415757019615
-1156.3235501416227,3,-1868.4397095419583,20000,-596.4725199433325
-1790.0591254371036,4,-3227.205767997214,24000,-387.73211677524904
-3472.042596360987,5,-3657.602627686875,28000,-3305.2822091330054
-2526.3013412689456,6,-3343.5425856370434,32000,-1645.6133267772793
-2052.8052132191287,7,-3019.5084610038684,36000,-1708.2039415289457
-1796.0629396770144,8,-2518.8215716885184,40000,-1352.8382438179144
-1146.2407471038669,9,-1414.5154814751043,44000,-892.388134550985
-2487.5878532536385,10,-2793.2256316018966,48000,-1801.5068430510814
-2197.0063519526025,11,-2806.7699090518113,52000,-1593.3272912673945
-2409.2752449674354,12,-2530.823921944805,56000,-2346.1862012280953
-2158.868738260298,13,-2260.0484348892905,60000,-2026.0148913222579
-1878.7735826084142,14,-2881.1209710317266,64000,-1471.4696602679694
-2097.8088350113226,15,-2535.4350139857406,68000,-1877.551167939275
-1997.181701841173,16,-2564.0368845446756,72000,-1812.2963786401876
-1868.4852528840759,17,-2108.0932635059535,76000,-1478.589488672378
-2069.154157272047,18,-2768.956569395256,80000,-1820.9016717206612
-1894.1639022340514,19,-2168.6940555533597,84000,-1756.468239236676
-1764.0994329450396,20,-2987.386268820241,88000,-1231.2802563402724
-1534.7301894650102,21,-1661.6037659362116,92000,-1463.9294505522396
-1574.1851830633748,22,-1807.0998854682603,96000,-1487.2292634117473
-1715.5138612851313,23,-2851.7737920014733,100000,-1420.6970994441106
-1335.248964231111,24,-1602.9635923499206,104000,-974.1842082149986
-1578.301144200893,25,-2770.6249680058922,108000,-1003.6702684914784
-1543.0546846052712,26,-1674.0841828351092,112000,-1467.078709985182
-1365.764379409212,27,-1432.6573948966316,116000,-1271.9194490222471
-1227.5014852914762,28,-1399.8899680085117,120000,-1088.4191671512503
-1026.280337671203,29,-1311.8512524432297,124000,-557.7135598715939
-1499.665753315793,30,-1623.5680352174372,128000,-1338.992749528963
-1567.0049054497404,31,-1658.6115407679656,132000,-1461.0996206727093
-1294.521550214439,32,-1606.5426777984253,136000,-958.1760015343851
