MinimumReturn,MaximumReturn,TotalSamples,Iteration,AverageReturn
95.72912500461703,199.20075165499702,6666,,165.10526720886304
94.56963726830358,198.6571370749965,9999,1,172.29056912268126
111.0213963093691,198.7686643303872,13332,2,156.6497195417225
111.70161911421032,195.29110337385987,16665,3,162.72316887103491
109.76873970653573,196.7077810215813,19998,4,157.28970366233597
109.82440307179765,198.49017567464205,23331,5,162.83122437958204
126.86742971725486,198.19590393510083,26664,6,169.59829016620998
116.28686840790012,197.0883588391536,29997,7,164.4290564278476
115.67768138682203,198.9184907415287,33330,8,160.4265602945987
130.1870073547491,198.6976341860435,36663,9,170.63502184461512
116.64449516377607,198.2281334022378,39996,10,165.14180206212396
134.1707832694601,198.11631771887642,43329,11,179.0383375011213
109.28012387822695,198.03348956802427,46662,12,154.114257140555
120.35638862208917,197.74040638542255,49995,13,166.1123823129245
113.20000132985513,197.56004428366978,53328,14,162.90338098683043
114.3747336216201,198.38506873097197,56661,15,174.4694500933426
124.4632517964202,197.46146419834773,59994,16,164.31529188071852
112.34311696968648,198.1252002921556,63327,17,164.45845246274206
119.3698883604061,198.30004767923242,66660,18,160.80664053836253
109.22700327358898,198.98673690472344,69993,19,167.64528547196093
121.52017971133158,198.8358023936258,73326,20,170.1143000628231
119.79050502849518,198.38472171381386,76659,21,168.4359009881999
113.058987542867,198.3138987761337,79992,22,158.70786023862814
101.05592635837463,198.73716074479154,83325,23,161.50846642691715
112.18111695003759,198.81544983322829,86658,24,166.54819163833264
120.74636824268238,198.6590688823652,89991,25,163.89980122406104
104.66782575998855,198.71858040353902,93324,26,173.12058532997256
119.38888981985778,199.10024152056204,96657,27,174.23101133349687
126.55030225596438,198.75066587057918,99990,28,176.8260821226133
115.69856961624033,198.71848528744232,103323,29,174.4993066433864
103.47722710245776,198.92923288869284,106656,30,175.04429196145554
120.25518272763455,198.43609587858705,109989,31,167.312611300689
115.375760324806,199.01688355507173,113322,32,169.20747811113134
113.31990593928909,198.23141950905168,116655,33,168.20738116801553
118.58535600880705,198.9220739418991,119988,34,169.37190955756714
123.63670489921321,198.76636660264163,123321,35,168.2235319787398
111.10148302767418,198.6763924810307,126654,36,163.97933023500948
123.71109304432476,198.67418733370968,129987,37,180.6484862097486
126.04126387901857,198.46088613748088,133320,38,168.41945810986596
120.6200262075369,198.82005541010992,136653,39,170.40513290929925
