TotalSamples,AverageReturn,MinimumReturn,Iteration,MaximumReturn
8000,-399.2014270798575,-447.7321297382634,,-340.5850246303361
12000,-349.29398211838065,-422.98837335462053,1,-319.9215664171032
16000,-371.6817787210345,-435.5154012140429,2,-331.57600898042455
20000,-267.95964801261454,-314.6543179357195,3,-228.85368515236883
24000,64.44988625297307,45.247544053904555,4,89.89040651198144
28000,381.39307948982815,-58.13549270230579,5,670.6712169158884
32000,582.7723006783216,-167.02745714782546,6,1012.4484127172427
36000,815.3591055066227,-553.4038495799896,7,1418.544693830428
40000,1254.060107827512,-548.7264773832065,8,1695.6449792776007
44000,717.6862569486366,-588.7214805733847,9,1739.8037601802644
48000,1667.7604386023995,-163.63027163529745,10,2159.3164345682408
52000,1711.5936170970435,385.03582114791004,11,2244.95451955098
56000,1825.447792760524,1616.4031391943759,12,2061.9505227999834
60000,976.2721043266255,-607.743370030935,13,2248.0986518881036
64000,1627.6419440443697,698.9665854289682,14,2242.9514774572676
68000,1846.62856266004,1172.1442622794698,15,2148.1623600172825
72000,1359.0209272895481,47.95565832981561,16,2244.2105236888065
76000,1399.061320570765,-145.39743628540617,17,2345.08859545033
80000,1410.9837900861523,279.42473426328354,18,2377.6892432825834
84000,2304.778681142956,2025.6530525641442,19,2512.277564707394
88000,1418.804761890546,-11.475056858573106,20,2412.6235263155177
92000,2231.9543004939565,2021.0945315285383,21,2335.7289354670042
96000,2098.9080732467683,1019.4318209230217,22,2430.006299161555
100000,2400.334013768624,2224.297999247701,23,2567.365573208183
104000,1998.123085545697,240.45866845627637,24,2524.708610184535
108000,1505.1393993808385,125.20586400872673,25,2428.8961273615
112000,2054.5452113347455,328.7585076589914,26,2479.7494313330244
116000,2395.046579696627,2098.2586900834303,27,2774.074569289682
120000,1591.558832790956,-310.8516933017572,28,2520.358428521528
124000,2271.843420760255,857.7575815680613,29,2700.0985752309784
128000,1851.7459842475237,450.0599885537821,30,2467.6513592097117
132000,2223.796670933092,364.5514006966538,31,2836.7301197244738
136000,2494.7747931725094,2349.2879400256998,32,2653.4936817757266
