TotalSamples,Iteration,MaximumReturn,MinimumReturn,AverageReturn
3332,,-0.018318064768756616,-0.04266903714711752,-0.027555216065005807
4998,1,-0.0032361530136802985,-0.006148039493820599,-0.004526411881516482
6664,2,-0.0009694888942931602,-0.0015450214490207882,-0.0012655473002508336
8330,3,-0.0012475079631651385,-0.0020357982929339966,-0.0014630395001118816
9996,4,-0.0006599448378516185,-0.0010523505787020913,-0.0007924753866518269
11662,5,-0.0030759698418075607,-0.010190180239275393,-0.005007260012196151
13328,6,-0.001071753499526362,-0.0031267487234031667,-0.0015468191941169478
14994,7,-0.0006159974578558439,-0.0011848922431465618,-0.0008535285051075904
16660,8,-0.0005574345323131169,-0.0009404223508962951,-0.000748709908814867
18326,9,-0.0008603692670771066,-0.0016207044450447055,-0.001141783514589236
19992,10,-0.0005279802154676353,-0.001041501997489332,-0.0007657424678814025
21658,11,-0.0005442618207212196,-0.0009856565033091586,-0.0007436863568784234
23324,12,-0.00047034344569023046,-0.0012219176341758983,-0.0007339799467388429
24990,13,-0.0008484644176870239,-0.0039004872095979594,-0.0019321281025769632
26656,14,-0.0006121874659318852,-0.0017641158481579943,-0.000857058259101053
28322,15,-0.0006184059008602951,-0.0016999375413393185,-0.0009208343477758016
29988,16,-0.0005857160572171623,-0.002579226420504145,-0.0011300832728611153
31654,17,-0.0008902244020969242,-0.008623653948875995,-0.0030598022083675406
33320,18,-0.0006372130040814375,-0.04633349714394816,-0.007370324511734603
34986,19,-0.0006311593399336511,-0.017158401239492565,-0.004664779309806313
36652,20,-0.0005791126079661441,-0.05841945218477266,-0.003938238698906271
38318,21,-0.0005670465655910738,-56.30024665953698,-3.1261181778715494
39984,22,-0.0004801125694585509,-56.54773466033106,-5.631214324500987
41650,23,-0.00046688068984234246,-69.96140385795363,-7.17661749370988
43316,24,-0.0006052257504979013,-0.07581104899437208,-0.007243777393800677
44982,25,-0.0005930122235772678,-89.25081409688697,-7.175249494707719
46648,26,-0.0007315405831564791,-100.1591948430331,-4.083018242818287
48314,27,-0.0006589055455273935,-75.97031205252762,-6.48252731582372
49980,28,-0.0008046687318547098,-103.89568103913334,-14.590750286635899
51646,29,-0.0005726216073298723,-65.87842122634355,-6.2193888370306505
53312,30,-0.0005641589549919217,-1.3936218533642528,-0.06159521271790812
54978,31,-0.0008096335935272375,-0.7475110187826145,-0.04939123533156983
56644,32,-0.0005841404015479791,-26.796948040145484,-1.0774457114220868
58310,33,-0.0006627106290079665,-0.012673883014721181,-0.003474720937184335
59976,34,-0.0005519563961336279,-0.02206549259120289,-0.003728575226654449
61642,35,-0.0011201274939144608,-0.11209991462097885,-0.053030154278070854
63308,36,-0.006564842873497201,-0.09911093099452119,-0.06105713514007458
64974,37,-0.0007534347340636294,-0.32523548465388047,-0.04398526833071398
66640,38,-0.0008898312460691656,-0.03975829066617278,-0.006411857517956727
68306,39,-0.0006040207811562668,-0.03879587935329294,-0.002332679065972695
69972,40,-0.0006466097668047898,-0.0498365243399221,-0.0046953813248686825
71638,41,-0.0007353564795597571,-0.022465560672931702,-0.0017843230951384657
73304,42,-0.000731850958801762,-0.04212530224077859,-0.010886408432207473
74970,43,-0.0005555187878250417,-0.06185979753603159,-0.008926551463124158
76636,44,-0.0006265045424787264,-0.05060034228744684,-0.004785452150258166
78302,45,-0.0005388410522675592,-0.04198257046404809,-0.004342510259853554
79968,46,-0.0005383392689618106,-0.06066016218672542,-0.005966814174899664
81634,47,-0.0005478029975507703,-0.0590766583475601,-0.0071234436479961595
83300,48,-0.0006349550564844895,-0.0832932481627731,-0.013501231128654138
84966,49,-0.0005564686425140474,-0.08276635583203183,-0.014559263121308834
86632,50,-0.0006460966673854186,-0.10419609017084495,-0.020405728302437122
88298,51,-0.002020097661430085,-0.21199441366155933,-0.15163380233845805
89964,52,-0.0005632942616432178,-0.19494367274128307,-0.016824859005498783
91630,53,-0.0006352412501843283,-0.1025218285378234,-0.008880753599667238
93296,54,-0.0006330495951846855,-0.15129881377925516,-0.015458432849665941
