AverageReturn,MaximumReturn,MinimumReturn,Iteration,TotalSamples
-10.069445555489644,-0.11626415327426864,-41.14413573318028,,3332
-7.1992944823374225,-0.048490496444275916,-38.232302619595,1,4998
-2.7371483324834047,-0.030000558685222573,-17.563219281564674,2,6664
-0.13100250178703024,-0.022478390892062477,-0.5916605583840654,3,8330
-7.779836224932357,-0.02123718039013645,-41.710520425552374,4,9996
-16.215710097524962,-0.03778759296472124,-47.976595916113354,5,11662
-0.12843464140460972,-0.047827026962702204,-0.4883378447389304,6,13328
-4.293074747970726,-0.03012583540965133,-28.527100961219585,7,14994
-0.0927331518654192,-0.03184156253519064,-0.2392710030165306,8,16660
-22.459307930660213,-0.061000282674914516,-95.92488353664183,9,18326
-0.11375364749324289,-0.02254191799333186,-0.4475229010954796,10,19992
-0.1003395816538718,-0.04413542454505523,-0.37784385287427524,11,21658
-1.081582845343686,-0.06792269395401015,-15.264119943796521,12,23324
-0.9369974318257343,-0.02374608766143537,-12.115025673572127,13,24990
-3.222031078603158,-0.04473845278252256,-45.83100735115643,14,26656
-1.4980616309037267,-0.05177641519351588,-34.322440432407056,15,28322
-0.1302123039911272,-0.045208875632937094,-0.3822661847465808,16,29988
-0.14179807262952349,-0.061874847252871845,-0.24747345560002698,17,31654
-2.059999569051468,-0.06114279770479572,-25.582635319205,18,33320
-8.16241690189453,-0.04636021211591154,-66.29518652533208,19,34986
-0.4705831977202552,-0.10620882366573285,-3.7713150975204224,20,36652
-0.8857922437450871,-0.030723340324043686,-11.751868492539511,21,38318
-0.25395894004519065,-0.07639986075060315,-0.8918440615933084,22,39984
-0.26101556944881826,-0.07742939120983633,-1.1077760783728328,23,41650
-1.2446871422334638,-0.11666797836306778,-20.708262082889654,24,43316
-0.6286879771086632,-0.13968358536256018,-1.8406122463199421,25,44982
-0.5667256853781558,-0.12589836110313116,-1.8947059560083082,26,46648
-2.6743523392901767,-0.05056011719147012,-60.54832138217841,27,48314
-0.4836280213260401,-0.04984213434547031,-2.3675744602241653,28,49980
-8.823668170157145,-0.06152403928329791,-56.72608060122031,29,51646
-12.7117141924433,-0.09783967536864932,-72.20430283877808,30,53312
-22.961504296190373,-0.04204299679476652,-82.8647989701331,31,54978
-2.107746719733638,-0.08613892416170756,-29.814838873539603,32,56644
-37.487653538108894,-0.14151887712874012,-125.31362018563783,33,58310
-129.25639133617048,-68.27902395033662,-160.6448637511345,34,59976
-159.4244551665933,-64.65954744065583,-189.40650651927243,35,61642
-132.51088623796326,-60.80465140851203,-175.8589463492125,36,63308
-145.11892272526714,-96.80591906357176,-185.08731506529904,37,64974
-100.38267333342998,-7.178720016055325,-183.90011278606582,38,66640
-134.30681848417183,-69.67339764893212,-172.0767998108309,39,68306
-63.95189523118812,-0.2950626231602636,-137.12174123901832,40,69972
-19.175166887492754,-0.1136530457343486,-76.2337447957322,41,71638
-110.24937736971899,-42.25005277917344,-155.23307151595696,42,73304
-86.12249684168336,-0.3118763659761831,-152.15311186474648,43,74970
-24.351315384244522,-0.12952315439750062,-133.3688496101053,44,76636
-59.52444125503571,-0.11483903615797549,-130.5898622589724,45,78302
-49.03332967580247,-0.16418525126302871,-131.98401279141314,46,79968
-101.490810604668,-0.2601548237464519,-143.98224439073192,47,81634
-95.56040402986251,-33.45206041468136,-139.84864656321076,48,83300
-84.76253174574335,-0.5373855264089483,-150.11370214884818,49,84966
-105.78104171761743,-15.807904696559994,-145.00007350564874,50,86632
-50.04256888763136,-0.30324574402990234,-126.62745063034971,51,88298
-91.61688803635263,-0.683532989320137,-136.62288078285175,52,89964
-81.75459950852434,-6.235202815159381,-144.86964516190446,53,91630
-62.652418711312045,-0.21288556032323472,-128.32619484848078,54,93296
-78.87102425654265,-3.2364730335653817,-131.16850327632196,55,94962
-41.64272892967684,-0.45701390899835226,-99.21880909255152,56,96628
-53.095342312288466,-0.22905656238366823,-127.1794059923491,57,98294
-26.19078029528826,-0.1481254569783203,-81.97144092019143,58,99960
-18.06121230800646,-0.3234523031218189,-80.63323231749925,59,101626
-30.227544939796662,-0.33447334671853435,-119.75178863813966,60,103292
-26.239845716720712,-0.3969948354615203,-86.15704006400665,61,104958
-6.706903573125707,-0.3519642857847213,-66.5618858942523,62,106624
-8.114221427789348,-0.2591012254269349,-109.13932569320346,63,108290
-4.04347912427819,-0.428285203838336,-50.795960580917296,64,109956
-1.347961967649012,-0.22775705197397328,-6.9793026928340876,65,111622
-2.1746642965190848,-0.2229363483623209,-27.215778616011786,66,113288
-0.6268368117729455,-0.12496756719692485,-2.304466657739706,67,114954
-0.32580621440304225,-0.08039158502972688,-0.81633235540738,68,116620
-14.54581815452694,-0.14979560343144752,-67.32016239892411,69,118286
-4.866988350876142,-0.20332374110499493,-43.5574304451866,70,119952
-7.000563071449976,-0.5747750475046605,-67.4171690814579,71,121618
-18.975287764955944,-1.641858657766318,-113.20679315934632,72,123284
-2.6869524064453936,-0.8623159103997443,-10.725841083626733,73,124950
-2.3398324603528944,-0.25540422240116223,-17.323885654906043,74,126616
-10.414133164581715,-0.177216935597509,-50.00741625106352,75,128282
-1.0772437933438237,-0.10667720299631404,-3.8372119917128886,76,129948
-2.4151401400786754,-0.14831514006283764,-32.055348662269125,77,131614
-0.8520516954497246,-0.24206215929633507,-3.1058482038393964,78,133280
-23.516405664477297,-0.27580409423572105,-65.14004057680394,79,134946
