MaximumReturn,TotalSamples,AverageReturn,Iteration,MinimumReturn
-342.1418930424768,8000,-399.8864266524204,,-446.2971545939257
-223.69189296528376,12000,-311.27744340137195,1,-420.67345815636634
-111.67886147869514,16000,-222.06225888134009,2,-383.62590275483547
-187.54996995890187,20000,-351.25895260531746,3,-442.44894230554945
422.12240627270677,24000,-70.8818993503722,4,-438.3685816458185
1045.503052649062,28000,473.7555103865248,5,224.41831616039136
791.3046766941172,32000,634.2126998272081,6,277.2205700737909
1918.1496197834424,36000,1538.3404934466323,7,1017.3044547956977
2110.695496008227,40000,1697.4668725998308,8,1033.7303153837331
2593.4553463090774,44000,907.6655469175665,9,-141.6737877619672
3091.158356452084,48000,2103.3480440127382,10,984.2138205904594
3445.5262788098266,52000,2702.7535614300064,11,1446.1182056879907
3004.117010475074,56000,2176.235055059898,12,881.9881255047658
3309.263907532732,60000,1952.6497984793093,13,-291.3310261206028
3666.5120957510594,64000,1729.442149758382,14,-115.1064968812699
3708.15957484314,68000,1812.2845537334233,15,144.26774699596606
3549.2678332961805,72000,2410.6010043428882,16,-61.322743492686165
3624.873035677793,76000,2824.7798680267806,17,1404.056483295919
3796.153822822671,80000,3303.4420015711426,18,2600.7449509895964
2913.6382991412106,84000,792.2007256933181,19,16.871111269120835
3940.030669738894,88000,1952.6862322602028,20,17.076053358420896
3659.499163236505,92000,2177.121852259294,21,150.98222234183746
3619.435842233681,96000,1920.1213146473892,22,-225.35825291389034
4015.1689047523746,100000,2420.893613544083,23,-160.3886901823309
3873.390426416538,104000,1826.9118488541744,24,-81.49855271280927
3877.4539275554516,108000,3510.423654680226,25,2994.081023301603
3922.2494031026413,112000,3251.637418427597,26,2077.85073881532
4014.4139566543395,116000,2775.3712351912923,27,6.142051187017518
4065.79975102249,120000,2910.746439473444,28,897.2533660881437
4031.360194072359,124000,2092.3914928262016,29,282.60465052724
4206.35634242511,128000,2887.545803355361,30,599.2246814473303
4040.19483160673,132000,2230.3843361307104,31,400.7225821165945
4016.573539553804,136000,3065.9803699880954,32,20.53338494643711
