MaximumReturn,TotalSamples,Iteration,AverageReturn,MinimumReturn
-2524.7540393393697,8000,,-2580.0729082259672,-2645.3904730845193
-2192.797611271872,12000,1,-2321.584673211861,-2425.9365011247296
-2215.976859067619,16000,2,-2375.450438739116,-2454.795235663269
-2429.6139180298755,20000,3,-2527.1143727827307,-2590.693235776688
-1816.4647724967194,24000,4,-2117.1320766441418,-2724.833099179917
-2581.025737688913,28000,5,-2701.538072288678,-2883.021733521345
-810.3258515800035,32000,6,-1456.1089279694918,-2644.32388643828
-1014.4977616892837,36000,7,-1352.1143230076236,-2480.3062812404837
-542.39490789358,40000,8,-807.9786545764858,-1505.394351681526
-819.6950598003868,44000,9,-1311.3735814524432,-2233.084126956064
-775.0459019752997,48000,10,-1344.7631967476837,-2038.1500230605548
-729.2576417324958,52000,11,-954.4808432754559,-1167.6498200832382
-431.2634639783008,56000,12,-1143.7612969378586,-1908.2402726628943
-733.1201807663034,60000,13,-1211.6426506878502,-1666.0640774300728
-694.3088110519338,64000,14,-1188.3253483455799,-2055.7540492098897
-290.11304264569975,68000,15,-1450.9902980943807,-2701.412380573459
-275.99571741487716,72000,16,-1423.773401422033,-2264.0627347477384
22.891108409011053,76000,17,-918.8622327647336,-1518.7720950018847
-619.0995263400936,80000,18,-955.9867518160771,-1546.416262219716
-637.4600882786247,84000,19,-1092.2996038714173,-1556.4165783117644
-601.8780548199202,88000,20,-1030.758469200008,-1564.6805142911837
-892.362922486229,92000,21,-1132.1140972026574,-1502.6488940696004
-437.60623464886834,96000,22,-1137.5216383071684,-2080.9992502668965
-810.3840424711793,100000,23,-1315.1114704567071,-1672.9527064389188
-930.4803343381603,104000,24,-1569.3304876234158,-2643.114251926041
-776.8567593859282,108000,25,-1165.9206150821249,-2012.5702738971884
-443.26440096476733,112000,26,-887.9744361085067,-1155.293872847492
-270.67332693372197,116000,27,-584.5862189671506,-864.5297680910502
-853.9453480960603,120000,28,-1084.483777151956,-1554.2672516158523
-369.89804271782776,124000,29,-1023.4984913275593,-2035.483583044882
-567.6594867785792,128000,30,-998.1258737109018,-1463.2908487269763
-317.1666178087026,132000,31,-923.0994817111158,-1425.7100743519604
-352.2503945175874,136000,32,-1084.1859576175586,-2229.4182323261725
