MinimumReturn,MaximumReturn,TotalSamples,AverageReturn,Iteration
95.73742027864826,198.84269007651014,6666,161.94508056630463,
119.58031211291726,199.25587546413647,9999,173.71248526780138,1
122.08190842714339,198.81531310536607,13332,174.33404862585098,2
116.1258831333976,199.19324839864316,16665,172.99496899598253,3
123.29179407240723,199.40109928835935,19998,171.90308979414513,4
124.45699132300894,199.12466775537553,23331,173.80795833430048,5
128.99492945617806,197.81198851083315,26664,168.98081067779756,6
132.07600832529982,199.11506635822414,29997,172.99838297010203,7
113.59622972346995,199.17031749987424,33330,168.06656637856446,8
114.2402362815004,199.1140957650755,36663,171.2337951551742,9
122.94830819363416,198.80531679974607,39996,174.4165106224805,10
130.399267502028,199.28158244703707,43329,180.7105831427321,11
125.75709909030729,198.34795112410308,46662,170.0485183521113,12
120.79259874147687,199.19296935881454,49995,167.74948495970887,13
121.24694510669875,199.0848083695902,53328,165.9835499725139,14
133.52746020652748,199.15063306884576,56661,173.71963680420987,15
117.06823007257918,198.97608065762793,59994,172.06916408740454,16
131.28416331772968,199.00630714791012,63327,171.39239067101028,17
117.67121836003876,198.67104861861296,66660,175.54899640028722,18
88.18144211356201,199.12111578733263,69993,169.9786611541368,19
95.08388883350041,199.16033721807105,73326,165.8484755561681,20
119.56372448163934,198.8332115228226,76659,176.35600409998187,21
98.29228357622942,198.31904916832372,79992,170.54626571217446,22
128.74017980279834,198.74641260882933,83325,175.1895125820985,23
127.14872067788612,198.88193498797628,86658,172.00080310316676,24
115.0137874961002,199.0101067702103,89991,167.07088895181784,25
99.96734783207143,198.72531139640972,93324,166.7857923593878,26
120.73284332425818,198.65686208508518,96657,167.17830850439424,27
113.46337009128318,198.51591954251373,99990,165.89505528233357,28
135.49732498042295,198.66451632303102,103323,181.7345125396031,29
116.60486169577601,198.47367883893338,106656,170.8620226095628,30
110.28222235143538,198.75087632487222,109989,162.07823595190828,31
116.92431749530033,198.9618525684718,113322,169.00929623479368,32
102.839094980838,198.63842888632067,116655,165.46920117291612,33
103.39284859100603,199.07727528267642,119988,171.20909549616775,34
92.96616790202455,199.0545754614121,123321,170.36215342127923,35
94.490769444733,199.06575627477577,126654,158.74755602102925,36
120.10666754297995,195.32387353001135,129987,159.72960573805284,37
122.55079797123888,198.54490762255963,133320,175.18640210756618,38
113.79500234086726,199.12920537158237,136653,170.3230176413081,39
