MaximumReturn,TotalSamples,Iteration,AverageReturn,MinimumReturn
-2491.4457090011624,8000,,-2572.4423052547177,-2637.0842087539045
-1380.4277357250899,12000,1,-2001.4623417588634,-2240.003336227091
-785.7910620511277,16000,2,-2392.581280954536,-2782.133133785713
-2319.5421488868583,20000,3,-2505.732800072207,-2569.403834618934
-524.9637861098139,24000,4,-1828.7479473915757,-2894.8313949415283
-2538.6791436215863,28000,5,-2661.3219447348924,-2768.771112438364
-2036.2473514434364,32000,6,-2729.420435127615,-3479.5648970315497
811.642450517307,36000,7,-1028.6769028598335,-2335.709610609638
-1095.626503043127,40000,8,-1366.4732653508656,-1606.528908048119
-267.40830897191194,44000,9,-1070.0056981500927,-1788.253985376535
-1085.0399032787775,48000,10,-1340.1340839447146,-1830.2585607123262
-805.2810090067268,52000,11,-1161.700163830209,-1387.9902470214245
-1287.4567919709289,56000,12,-1653.8151415857935,-1834.0688849708363
-866.4930401626858,60000,13,-1587.0629624863752,-1870.4792476271036
-1479.0152531908598,64000,14,-1778.466534130989,-2436.691239099295
-1455.996623120033,68000,15,-1878.7346232653133,-2502.284925802052
-1343.2769506878933,72000,16,-1787.6668187571584,-2641.998212341448
-1180.4452238670342,76000,17,-1381.5349149907531,-1818.2784952134043
-720.2139180202256,80000,18,-1190.313825717414,-1464.6907848910123
-656.3878307214146,84000,19,-943.0877031400605,-1386.1726414914845
-667.3643890697745,88000,20,-828.4959485972059,-1061.842937342426
-614.5562327521762,92000,21,-875.0209049999712,-1198.3732194876368
-264.2053543888346,96000,22,-729.2050791155003,-1130.1672712813736
-251.995966382631,100000,23,-632.0977325281721,-983.7409662791807
-165.2396680616551,104000,24,-1072.3145544101933,-2610.948485351805
555.2809676969698,108000,25,-346.22823184450573,-1481.5561647517113
354.41576212671526,112000,26,-340.30975743493434,-1324.4833748357062
-130.18874411984748,116000,27,-1219.3536702555282,-2434.385902573497
694.2587250957869,120000,28,-725.7229744783791,-2158.925999149353
262.97904091242975,124000,29,-521.8982079447011,-2333.057281656235
359.99659290276753,128000,30,-295.6657988924347,-1944.9410348399722
143.6287743582174,132000,31,-79.17086491207392,-260.31350791098777
674.3959379840062,136000,32,-309.89475741576695,-1180.262855559386
