TotalSamples,MinimumReturn,Iteration,MaximumReturn,AverageReturn
3332,-36.03712517361826,,-0.0358731861752031,-6.100021435904657
4998,-0.30217168387548093,1,-0.04527554687825697,-0.0948777522271436
6664,-0.013764099550010886,2,-0.005797767075341622,-0.009012287211350275
8330,-0.0014852825767259427,3,-0.0009524726987188805,-0.001242780439924301
9996,-0.004332652784418245,4,-0.002445696286882014,-0.003256047953118646
11662,-0.01314720754279481,5,-0.006657632216431912,-0.010146285753234459
13328,-0.0014373485182135437,6,-0.0008164876077270223,-0.0011119993072563653
14994,-1.175460323978144,7,-0.01812296854248237,-0.11681492690432918
16660,-0.028783714189633297,8,-0.012257750269945467,-0.018008806510394063
18326,-0.02947902052654685,9,-0.012528688168243722,-0.01958100925917627
19992,-22.929910283887185,10,-0.0012035381516277376,-2.2114459607376067
21658,-50.95359992963952,11,-0.05704549134020006,-26.099986505116675
23324,-59.7175942507726,12,-0.0012503801004099537,-12.700554035238202
24990,-56.15754292978355,13,-0.0007066791444357808,-5.137619660479013
26656,-140.84509946158292,14,-15.872390323858793,-103.71017625133994
28322,-139.34557161286966,15,-48.31501281214088,-116.44829263747853
29988,-146.634801857732,16,-0.12932501740349417,-84.8790029912877
31654,-149.60137184143136,17,-0.0013512960463606047,-24.634546001782816
33320,-158.66305120484182,18,-81.0728367725093,-128.47402292932648
34986,-110.51117063120807,19,-29.45250319047724,-73.70362647000078
36652,-128.452578739213,20,-0.001187492814008353,-21.39098832986657
38318,-152.18480162003235,21,-83.95001218124253,-117.80405774661031
39984,-135.22329496389418,22,-0.2544562049251021,-77.81433055312455
41650,-93.27929146894101,23,-0.15487269059561293,-45.21023151634017
43316,-87.87689723760607,24,-0.09752320778175107,-52.34645650370684
44982,-100.37962987901304,25,-0.970702173050502,-55.390322174251075
46648,-117.02864110617831,26,-1.090033050908973,-74.88279892445908
48314,-152.3143217330344,27,-28.151019369157602,-118.26028316759775
49980,-141.20607150783397,28,-6.25939911415472,-95.576239569225
51646,-149.80165725707417,29,-0.12065554155470805,-75.45770939712688
53312,-156.2586915506738,30,-93.49532585947418,-134.3694468047601
54978,-148.7278508768411,31,-1.4797057065776031,-113.17409238095277
56644,-152.0861198817904,32,-3.834507967539027,-119.78935472210597
58310,-128.26629400814122,33,-0.3218642808028906,-79.86640301368307
59976,-90.80559587397745,34,-4.8036081457753,-60.918872479976905
61642,-20.606331047489213,35,-0.11023712423039231,-2.2831156805232697
63308,-3.060898796153569,36,-0.09707007434581612,-0.3538418024143501
64974,-48.85193595174101,37,-0.17321740734738733,-14.589768589454454
66640,-56.02334378389303,38,-0.19124093191777458,-7.9293307742698405
68306,-100.18611008807149,39,-0.03637441126853133,-50.82519501493811
69972,-63.45374268705135,40,-0.2898467157408312,-36.142008867445604
71638,-37.264034283138365,41,-0.33410885935366563,-10.36242445398501
73304,-40.634433943520726,42,-0.8492815759287938,-17.684797023562645
74970,-117.30538730048976,43,-49.69244354344464,-91.33018939154388
76636,-94.1745735452169,44,-0.10754645171334552,-51.47318188488387
78302,-151.3983947955934,45,-125.56543754886245,-140.99731352937664
79968,-149.6001062106017,46,-79.15860331738547,-130.49079572520307
81634,-158.86151401959523,47,-103.01569724233788,-128.22990052708147
83300,-135.2030741356924,48,-0.08176233014186274,-78.58033581612386
84966,-134.40860385976265,49,-84.32616030831407,-117.23049928456447
86632,-92.37896210897364,50,-0.10594076681187403,-67.15507830514588
88298,-79.1167990134881,51,-0.0025326730975020954,-41.30153659361164
89964,-64.50365700401552,52,-0.0007359532947719279,-4.487795930921573
91630,-82.02596257632091,53,-0.000726630103215941,-3.2961244318463954
93296,-71.2212740877056,54,-0.25896977559423323,-36.066442431540764
94962,-43.80278500152419,55,-0.1739084077243103,-13.45681883563891
96628,-0.343371431478052,56,-0.14713050201277655,-0.23511015980750036
98294,-192.84564937362086,57,-0.1982840447720335,-14.82862955425055
99960,-172.17041536393654,58,-0.2272424892696704,-14.871356053704869
101626,-108.248267873933,59,-0.9048970810515315,-12.825253049323594
103292,-216.05745922840615,60,-93.56446184722643,-171.9151184960717
104958,-200.07414831683613,61,-3.6723864580110908,-78.3107694081698
106624,-232.54265785811262,62,-79.0868585071005,-204.96927138784537
108290,-220.0861680663121,63,-85.34440728547287,-184.16760994945457
109956,-205.4397928916339,64,-2.3902396064296116,-71.04878305510454
111622,-230.9207254501995,65,-34.745347828425906,-172.53842229291092
113288,-187.58910483542505,66,-0.11059681184476731,-28.174279839047696
114954,-212.9333307913877,67,-0.6798903921439541,-124.96388591936201
116620,-35.17558274392102,68,-0.30855890203186,-7.5182054953659545
118286,-60.42089890185222,69,-0.1440782140794203,-10.992473713966469
119952,-231.31960762188183,70,-198.46465391609337,-217.89752828876507
121618,-223.57896992483913,71,-0.37803087795822476,-117.61037067286271
123284,-192.01792017700606,72,-0.3964152133349335,-81.71639781798402
124950,-223.7317002322373,73,-68.40895455248605,-175.38141816454043
126616,-230.99393515404742,74,-134.35854238701938,-206.0718598826508
128282,-230.5658753478704,75,-153.68220614924957,-214.36015660066715
129948,-232.87736356691906,76,-106.88051849022202,-183.83998199828238
131614,-230.99776561719798,77,-31.059046694329066,-199.76785230271406
133280,-232.9620616360465,78,-173.6179739044333,-215.74552393004927
134946,-236.00766410965238,79,-212.57016012663743,-230.1971806669154
