AverageReturn,Iteration,MinimumReturn,MaximumReturn,TotalSamples
-2137.7988819832735,,-2600.4495364226555,-1737.7945193733299,8000
-2025.244550260989,1,-2098.3163301456775,-1953.010290601852,12000
-3098.0981945968865,2,-3142.3639547915695,-3042.7928642846086,16000
-2880.6741597165524,3,-3047.2361204350254,-2693.317052032649,20000
-3068.614455465264,4,-3081.7774647641086,-3053.8144384876146,24000
-2951.6291736545536,5,-2988.3551359777684,-2922.8844248030023,28000
-3021.545945399801,6,-3049.0604278856017,-3008.9734648775952,32000
-2696.749876125528,7,-2845.413924306505,-2556.6903226644604,36000
-2767.2173289494126,8,-3134.182074801872,-2356.8707131497986,40000
-2350.876931785808,9,-2459.1360173752314,-2291.482068387563,44000
-2100.9567209942893,10,-2505.598650220963,-1488.7683287836549,48000
-1110.805168498844,11,-2083.284316839545,-504.0844022034572,52000
-985.1408511362321,12,-1573.4597999773637,-363.8032199740958,56000
-1388.2993425051793,13,-2178.9428094206655,-188.55552808937537,60000
-210.28404296611507,14,-973.044842655155,566.3526095212216,64000
-708.2519243812671,15,-1452.0863033739797,236.68236822619767,68000
-549.7624964332545,16,-910.8025924560446,-240.05456729317453,72000
-47.30818053142991,17,-550.2888502887844,623.7828909416303,76000
-350.91188193559833,18,-1359.9305266104643,1142.375132624068,80000
276.5355371123929,19,-306.5102152970314,712.1917648472548,84000
-214.23676563925815,20,-1019.4917268657634,518.1715200963039,88000
-544.9919457106124,21,-1248.589117047802,180.86406886190258,92000
-1128.336999294099,22,-1501.5155517332223,121.17994757168591,96000
-1089.2657098982538,23,-1474.229899710266,-616.7339463674842,100000
-1310.742594607236,24,-1464.686185793682,-968.5179584172164,104000
-1073.8551134069785,25,-1595.6133750298925,-686.882815692659,108000
-415.81524574138683,26,-1002.1367373862861,91.73064581892586,112000
-645.5793490310162,27,-2104.1889419224026,39.68940399058472,116000
-478.6295653680345,28,-1472.021750178399,567.295725298291,120000
-297.47554401727217,29,-1275.7571182633114,170.59525438340987,124000
248.29432792580005,30,-226.35564926814294,625.7443013947054,128000
-44.91404267701975,31,-764.2005880063705,384.4315450794708,132000
-190.14803189395434,32,-943.1903003444668,410.2540318043739,136000
