AverageReturn,TotalSamples,MinimumReturn,MaximumReturn,Iteration
71.94592736175184,8000,58.21447857563013,80.3201194982138,
72.23686695973224,12000,62.14646893077073,82.76915691589058,1
98.64596285284945,16000,91.87727508104132,102.98514523352385,2
110.02519768379648,20000,102.83574652916303,115.9054536921063,3
65.11368558634206,24000,56.78246000700234,85.04507800686103,4
145.402830247754,28000,142.88672054467733,151.2142491259921,5
111.98005293976827,32000,106.80445752915674,118.48976053429978,6
47.37188463235194,36000,32.661391741595246,63.36627254451338,7
97.40113314919358,40000,92.40835426295541,103.34322214298592,8
76.79195773010416,44000,62.1367990529435,86.97321608903158,9
32.07050911526066,48000,23.024304910429258,48.84679469194813,10
167.995580435881,52000,160.2393443924781,175.63094862914008,11
249.29410462349097,56000,245.00788058669733,252.48069941051423,12
281.0408447470712,60000,271.76802170731474,288.4315324061352,13
284.6195099184631,64000,278.91574545689235,291.43022784137526,14
298.4583346718846,68000,294.60828495588885,300.73387470136834,15
273.8196084668219,72000,268.3452425609413,277.7046115627839,16
277.8296679270509,76000,271.7444382223675,285.7115548686758,17
290.0380840423925,80000,287.6784479573882,293.1811272991999,18
293.8302200465183,84000,290.46826523984714,298.6682556106386,19
245.54632199235368,88000,220.36088025796676,275.1812607179895,20
176.4596233955737,92000,166.47399879399347,189.72932333675638,21
255.9000002852497,96000,221.62241051173706,268.49894873021134,22
304.9238113144409,100000,299.47638321360273,311.9050126507174,23
328.10753535075986,104000,325.4171766892425,331.1399454728626,24
330.12097916844795,108000,324.83625823591353,334.2452059512353,25
324.0424355552343,112000,321.3709618791201,326.45942063710896,26
319.01577408164667,116000,316.92769920605645,324.6797935320239,27
321.19877565795406,120000,318.86155273723887,323.73553252944606,28
317.6389959056411,124000,314.76660252775747,320.7376619893111,29
316.2650286048059,128000,310.86525277688736,322.601587601897,30
316.5715599446951,132000,313.701604584632,319.3762957340309,31
316.15524247813704,136000,312.69898314341884,318.58552764159924,32
