MinimumReturn,MaximumReturn,TotalSamples,Iteration,AverageReturn
86.90773762204958,198.23918865307581,6666,,162.29219321419362
123.14690702895925,198.94967142347843,9999,1,172.72202173163203
71.02427071720442,199.24179171308043,13332,2,169.4825468238944
129.76490284347258,197.43068298962692,16665,3,172.69311992828042
120.38413918150668,197.68467926727882,19998,4,169.79309977362246
120.04566494554437,198.8606731032079,23331,5,170.02001873732337
120.84489348083517,197.69794641004435,26664,6,167.8933356461786
101.47613565665148,197.87451805626628,29997,7,165.1888297570665
122.37408926898539,196.5238347420262,33330,8,164.55580919641497
135.1126512886899,198.11220414337106,36663,9,176.7926465221991
112.58549075993191,194.98927289239256,39996,10,165.08162280760877
125.26493881077734,197.7937598062235,43329,11,171.1637028145888
119.01896186613412,196.07420242931505,46662,12,163.79158081644925
118.17944418567653,198.34099581285966,49995,13,166.42623528080824
117.9765641499531,197.71234636936921,53328,14,167.95603170433415
118.40311796191754,197.39938841155606,56661,15,166.56803406494365
130.3580907831686,196.7573008026891,59994,16,178.8462812123176
119.96583373866248,198.5316968043897,63327,17,174.48890153960696
124.85324852791861,198.39977137428616,66660,18,170.40551174623968
120.52756517221786,198.14628002170372,69993,19,172.8655440820202
95.2956238633966,198.27990945801946,73326,20,165.35224362115648
112.08669114760103,198.57220671726418,76659,21,172.7994438990441
102.29105882076786,198.45142322404814,79992,22,161.19419579899645
108.84395964884638,196.73128077249606,83325,23,160.41420692721013
136.74728573559898,198.16940072805346,86658,24,175.80165987933003
126.37622102118821,197.44337401300947,89991,25,170.29093903849287
120.14477773513896,198.09975716817027,93324,26,166.49326670909784
110.7688894604877,197.6777529131066,96657,27,178.00595849514616
125.28819326226191,198.38315042416588,99990,28,175.79342205196346
127.64134727678497,198.47793418034865,103323,29,163.7211706245097
122.98622026476956,198.67763694989395,106656,30,172.53942533082954
125.06282135854121,198.37272757438078,109989,31,164.01468051883575
114.52057745425442,198.28640427536456,113322,32,171.1221748439531
121.56974210200825,198.20366622562025,116655,33,167.30570877753416
123.55008163863084,198.45375888279284,119988,34,169.85018817574016
122.06148612184167,197.31712830688798,123321,35,164.48235443802207
116.15328699545012,198.17620614182366,126654,36,169.86577141899048
108.83780981796473,198.58586119799403,129987,37,166.96333930917817
121.53675915624152,198.3598278842743,133320,38,163.45586099025616
123.04490623152478,198.40437756926738,136653,39,168.04813528807477
