TotalSamples,Iteration,MaximumReturn,MinimumReturn,AverageReturn
3332,,-0.011560941433348864,-0.028220979623368565,-0.018689008937968793
4998,1,-0.0017730353645201988,-0.0036877961673449,-0.0026483562732283004
6664,2,-0.0015591228365097298,-0.002602521337406315,-0.002119531056127735
8330,3,-0.0005472481236954902,-0.0010532294652806239,-0.0007425687159706812
9996,4,-0.0006257950212011498,-0.0010225504020112334,-0.0008178859265791754
11662,5,-0.0006026564718534826,-0.0009972573038925416,-0.0007539918588118228
13328,6,-0.0005946098792742135,-0.0014253136069639252,-0.0008309476695787083
14994,7,-0.0005181928022226435,-0.0011325074998603042,-0.000814038577985664
16660,8,-0.0006162315941997462,-0.0009802339316232437,-0.0007668942596980023
18326,9,-0.0005658461235386637,-0.0008811929846874003,-0.000730171899028425
19992,10,-0.0005573422849727939,-0.0009899210512356077,-0.0007608546491426698
21658,11,-0.0005383294563958411,-0.002704038095470359,-0.0010158824554842326
23324,12,-0.0005576787885220552,-0.002462574941067844,-0.0010328642919898944
24990,13,-0.0005814555182164302,-0.003221558114230674,-0.0009119673685889451
26656,14,-0.0006290395553494535,-0.0015907466011043146,-0.0008726952994299608
28322,15,-0.0005054850171365025,-0.0031793736746916056,-0.0009489863827081979
29988,16,-0.0005744969809418573,-0.0022230901018695844,-0.0008304160861431087
31654,17,-0.0004708050160368768,-0.003447516127232058,-0.0012495062193068089
33320,18,-0.000565781423417783,-0.009595888008971293,-0.001651033618553306
34986,19,-0.0006340909927354361,-0.009170762025056324,-0.0013578307963634003
36652,20,-0.0005527961235105295,-0.059265812687022974,-0.003985875819483614
38318,21,-0.0006480102751193165,-0.028232361677713976,-0.001986555414839421
39984,22,-0.00057473448990894,-0.0047649062144398974,-0.0010619748220357175
41650,23,-0.0006202792642084465,-0.03482028054063572,-0.0052448835860093275
43316,24,-0.0005332697658467264,-0.034934405458074476,-0.002976325875613839
44982,25,-0.000543202469698678,-0.016152887504707152,-0.003266136791447349
46648,26,-0.0005750859939151253,-0.030491637200443907,-0.0036246256868095973
48314,27,-0.0005324207577863347,-0.015695890674808827,-0.002402975123238486
49980,28,-0.0006727527835390658,-0.03520392027423129,-0.00414044020525842
51646,29,-0.0005337195771888177,-0.0010398140542863866,-0.0007590390429481297
53312,30,-0.0005627642920987883,-11.394651489124755,-0.5812020553636899
54978,31,-0.0005759674838903638,-0.01696550489907235,-0.0025473985868182795
56644,32,-0.000590538020976358,-0.011254436450359145,-0.0017824981727621316
58310,33,-0.0004995236044887537,-0.03984268646671955,-0.004371183153344379
59976,34,-0.0005932191073057751,-0.010439577296375914,-0.0018083302193079476
61642,35,-0.0006031307976767637,-0.01397297712767483,-0.0021601991071853142
63308,36,-0.0005649425558966192,-0.013686140664395103,-0.0038614203312225324
64974,37,-0.00047999920084173576,-0.019584855474985806,-0.004220766608164625
66640,38,-0.0005114007404711654,-0.018814740156090748,-0.005296525413762149
68306,39,-0.0006498050596861823,-0.028463990498412493,-0.006479371966063143
69972,40,-0.0006494134214954113,-0.011764399803939814,-0.002033956647173252
71638,41,-0.0005356066983001967,-0.0010266984173649687,-0.0008078169980527778
73304,42,-0.000648303845372626,-0.0040308534561702865,-0.0011213261899182753
74970,43,-0.0005249025966295607,-0.004218693222056536,-0.0010831554183040196
76636,44,-0.0005660940753936487,-0.00554780781082395,-0.0014451729787350982
78302,45,-0.0005892293136409254,-0.006676199815505596,-0.001450656193351004
79968,46,-0.0005243862429714995,-0.006148370583267136,-0.0016224691225979915
81634,47,-0.0006334628046019133,-0.01257004259303817,-0.0034290592604749328
83300,48,-0.0006796499413386461,-0.016064012583439532,-0.002975931594341866
84966,49,-0.0006622720365381011,-0.011402072064090565,-0.002295707897954105
86632,50,-0.0007377325151391976,-0.02259923321968198,-0.003966376343406727
88298,51,-0.0006225767302641816,-0.008355255033580412,-0.0015038067830225983
89964,52,-0.000671622072311171,-0.013853517276411542,-0.001870478586477169
91630,53,-0.0005776572213964747,-0.01960932697240155,-0.0024873120105541827
93296,54,-0.0006207850201845657,-0.008015980112706912,-0.0011191685118939459
94962,55,-0.0005783867941521157,-0.013017230220350015,-0.001818654049008083
96628,56,-0.0005970288716647786,-0.01429865540098466,-0.0027046418911942714
98294,57,-0.0005879656942387793,-0.010441092265393494,-0.0019007838071412179
