Iteration,MaximumReturn,AverageReturn,MinimumReturn,TotalSamples
,-188.9523840315241,-200.9185694867022,-213.41874501183284,3332
1,-0.18097019590599292,-0.314630374526848,-0.5085669064777824,4998
2,-0.10705915839025543,-32.0397004634085,-80.1321390340621,6664
3,-0.08285533867193359,-48.68762907335853,-115.4843721050083,8330
4,-0.03863886286888027,-31.71912253098479,-88.69867053205647,9996
5,-0.03743922409686214,-26.524299226546418,-106.75109598579647,11662
6,-0.04561553897355677,-12.11445189657006,-59.97152591304648,13328
7,-0.027774085203355534,-30.321326336949184,-111.91499348546682,14994
8,-0.016594400376660642,-3.83765134282788,-66.74409160230837,16660
9,-0.07179127448977707,-9.054439905290359,-61.11893589652184,18326
10,-89.99305861716765,-135.31815837850257,-162.29500611735648,19992
11,-68.86489937308347,-131.6603951853437,-171.4457513593624,21658
12,-120.04328050909037,-160.13328345926044,-180.98259362882735,23324
13,-96.65454637349796,-173.69443928264423,-192.0211766855216,24990
14,-144.05480843563583,-179.00198773631007,-192.77837047421013,26656
15,-132.42145597156792,-186.76029747261123,-202.54205664989303,28322
16,-163.5545676781561,-188.2861494997178,-199.37729215974517,29988
17,-177.10539714556742,-196.46149970034745,-205.2501899814752,31654
18,-147.47015941428972,-183.0603898731331,-199.86716753718397,33320
19,-131.64493090894382,-178.6906519209194,-202.0205275046267,34986
20,-164.13763466633773,-184.98004671944116,-198.46867742650065,36652
21,-157.8616064426677,-179.1820300702871,-190.3156851455338,38318
22,-169.27543880096033,-182.87165733194095,-193.91133370731035,39984
23,-163.93772298532008,-182.40213740108456,-193.26239276256953,41650
24,-166.89531036751646,-187.10055479622434,-195.166142051252,43316
25,-170.03456329092825,-182.68692376074137,-190.85397256996492,44982
26,-138.84113583428916,-175.19795583452174,-183.94939229000306,46648
27,-157.11730581900477,-180.31113023446832,-189.7771298184743,48314
28,-154.2165527111909,-174.1426112980839,-181.2346042571182,49980
29,-150.173965674083,-167.09800572754284,-179.9309483421104,51646
30,-136.60182427593682,-150.02315390461877,-158.76244039462918,53312
31,-2.8485509803267886,-51.60849470699021,-86.6761828262202,54978
32,-1.1438667749359286,-43.277952505736984,-98.56057835985897,56644
33,-2.1153289638118227,-79.34809915650395,-144.05520603147846,58310
34,-1.0534210482321986,-64.1147293508275,-159.18985892418658,59976
35,-0.6266275141127602,-1.7341584293317849,-3.6982755481490224,61642
36,-2.1133315833473585,-10.152996149372713,-72.5230211050724,63308
37,-2.3488261979903378,-4.724215144985435,-10.839222578125984,64974
38,-3.3295415658765593,-23.71953662091359,-85.8460150233586,66640
39,-2.907511165934371,-18.512831635191887,-66.03530906897016,68306
40,-9.5309082578755,-39.60144431591663,-86.55757024138613,69972
41,-2.635739283771483,-116.79967160937355,-151.30691847655535,71638
42,-1.9738784173629351,-127.1466162560082,-159.85094322084313,73304
43,-1.6863363513486056,-26.243750179780125,-87.05201548052591,74970
44,-0.30705287490794514,-0.9221053804282836,-2.5739685117518367,76636
45,-57.70482073370254,-78.46735239147556,-106.22020357958792,78302
46,-0.27294705153762566,-6.478447824398009,-49.89031729916078,79968
47,-0.13308276468020108,-0.5710877558008653,-1.095839303136592,81634
48,-0.3083923844906799,-0.5955638045043556,-0.931949456887465,83300
49,-0.2688593747708838,-0.586005025399142,-1.538041789242824,84966
50,-0.32647848580278044,-0.7648089639644184,-1.6313028904231082,86632
51,-0.3867227266104662,-0.6796922041350638,-1.3868880327700843,88298
52,-0.15576714371297712,-0.7929889175310282,-1.6606251527553157,89964
53,-0.19982302192146,-12.264912580817539,-52.54809800745697,91630
54,-0.36470345258283665,-18.394208885827993,-51.772113610687164,93296
55,-0.4055346851877577,-13.925891837922391,-57.7882531454993,94962
56,-0.44685157196008835,-34.93483935354104,-68.8783171461316,96628
57,-54.28923361751617,-103.31937620022207,-123.24669046977748,98294
58,-115.00321152587156,-155.6927604261993,-171.19024106083032,99960
59,-32.541849819201616,-75.3481496751237,-107.2641659088573,101626
60,-0.5195036663018477,-47.282278812949464,-136.89641463919992,103292
61,-0.918134692730287,-21.60297036733014,-81.89174151401535,104958
62,-0.16688461892996242,-52.7967799036903,-95.71299046860199,106624
63,-0.44834282291899713,-11.931431985040224,-65.99503588536517,108290
64,-0.15139079161813643,-14.388771329481518,-82.0666757358324,109956
65,-0.1630653797255517,-2.6754974141106427,-24.591961068125222,111622
66,-0.26376883443010435,-25.395663416722822,-101.05081263565434,113288
67,-145.18250833157833,-176.39972606727474,-188.3846764198449,114954
68,-6.123427115083669,-14.99815972719725,-161.53911211858178,116620
69,-4.844270622152756,-8.398139886428662,-13.534206091224021,118286
70,-2.851099456179743,-54.97332084339544,-118.67800849761582,119952
71,-55.82945439954599,-122.46573150135774,-178.44202197203566,121618
72,-95.2683931877903,-169.5586796975389,-198.9604355432179,123284
73,-124.83663659175267,-171.29681966797995,-198.03075447484818,124950
74,-110.86945709483768,-185.56782716122055,-219.5957320653542,126616
75,-157.71269199231844,-191.4556854266437,-208.3302851427042,128282
76,-154.61132477479572,-190.98774176374533,-205.6018381731202,129948
77,-175.59109246746485,-203.42796027027197,-212.3747293718512,131614
78,-187.41635650872678,-201.36031194626466,-212.82539892117242,133280
79,-176.8816855211083,-198.1394594621367,-209.36132583035766,134946
