MaximumReturn,TotalSamples,AverageReturn,MinimumReturn,Iteration
-50.2882277254863,8000,-57.02194402228893,-65.80498360054226,
20.69928017564233,12000,14.551498434608233,10.145450523553857,1
12.505125864969765,16000,1.2494077558188652,-9.553269950100717,2
11.317871505525515,20000,7.758443892700723,3.635044579044572,3
25.4215422651465,24000,13.175469516271272,6.676225605426704,4
21.81485111213862,28000,19.665436991683414,16.209215560679688,5
21.571673711959107,32000,15.75987727557173,11.199620069744242,6
32.938527353784174,36000,27.05138976339424,21.94135581715843,7
25.42768713664971,40000,19.755173434005084,13.050997375929589,8
51.534452053910734,44000,42.810812178274745,35.42669753898743,9
65.97536277220615,48000,51.257218713164,38.38099542959797,10
67.51737672147401,52000,61.94881240071013,56.40465858061622,11
112.6609634039524,56000,101.02343539004937,83.65383621595025,12
123.5893343676188,60000,105.28485044201,88.4268105472774,13
173.34212713810632,64000,161.61857091231673,156.07591062809666,14
217.16294726125204,68000,210.05496506876923,200.48519604905076,15
232.58573118435785,72000,223.0545783995518,204.02884111980075,16
256.04556509203655,76000,248.6279888678707,239.98236319039978,17
261.4946365665885,80000,249.10567460781274,236.12530984978946,18
276.67950674215126,84000,268.3138608990672,260.7563402967093,19
297.3971823337195,88000,281.6274928282951,256.69723136172655,20
297.5035909117958,92000,289.98779446369014,271.27590279695573,21
304.24593856363015,96000,302.3143027894491,300.84364049234756,22
304.5312528409392,100000,299.0051033415787,292.47557535774376,23
302.65097946433957,104000,298.2571816794687,292.9493439705138,24
307.19373613117847,108000,305.47759388238677,303.99368924579994,25
307.66523454573326,112000,303.9680307594813,301.1609715175324,26
291.7000873533304,116000,283.6112227605358,271.76574844568313,27
301.2208443429586,120000,294.8016256468372,279.5892834602687,28
301.5702683471663,124000,296.8603115633652,293.62584346399626,29
298.5170828755415,128000,293.5648329463748,285.3344479681364,30
276.19736960722054,132000,271.5880568545147,265.3725786403435,31
305.51251136078713,136000,302.9562411623647,300.75285296209074,32
