AverageReturn,Iteration,MaximumReturn,MinimumReturn,TotalSamples
59.672360805489596,,69.36132392753068,49.36726211714441,8000
113.17827165923984,1,118.71032550297257,104.62874272286507,12000
106.22055931974728,2,112.15654403338047,103.78759116845306,16000
79.10301349164911,3,82.89186524041102,73.48890005526363,20000
118.3040888107371,4,122.38878653367973,115.66262188587856,24000
63.382436280679094,5,67.68517598546134,59.04800239576432,28000
66.53106125285865,6,71.89377884110675,62.79441816575596,32000
76.54973808813129,7,87.00727489304757,71.81695279475004,36000
162.28687373894425,8,171.66006164571687,153.2142047161618,40000
139.14565132915104,9,145.10213063172037,133.41609562625595,44000
156.9313167558587,10,162.53892826216332,150.40297419367155,48000
185.29929020375178,11,191.01143798481687,182.0519350090135,52000
181.46008790990746,12,189.03905397466087,173.7954312785666,56000
181.56693544976267,13,189.63428647355505,173.51368636959998,60000
92.1647093057296,14,103.81247464324711,84.78353548433057,64000
117.89288094217927,15,125.72422471912195,108.46002317407546,68000
154.37630727237112,16,162.09023963600353,147.7984293534237,72000
188.0542530594022,17,191.21111049554824,182.67249496085077,76000
241.37367841787514,18,247.9847800544679,236.23770015682163,80000
267.00146887980566,19,271.914734899221,257.9462022990308,84000
277.01664468852437,20,285.20691277433076,261.7137176675713,88000
304.03099837143645,21,306.44992870968434,299.98735918833245,92000
315.17418361721695,22,318.5955813782948,309.3723356597564,96000
324.6306942324269,23,328.1593472993732,320.6388195153089,100000
326.3871327321628,24,332.6102504190018,321.1008655648855,104000
329.7638212987352,25,333.1360825096655,324.0276455900625,108000
323.53294663011667,26,328.626949901503,319.9471120251412,112000
324.38985168789526,27,326.4147921942478,321.2757277840017,116000
326.8362463964484,28,333.0738628575547,320.0848652683592,120000
283.7868737954688,29,304.0342145495133,259.2783091356873,124000
323.31053286329114,30,327.12720055665267,319.4503036339232,128000
321.33342636039,31,324.91226385372556,314.97876654769544,132000
323.68948247582773,32,330.453423945765,318.47631593335154,136000
