AverageReturn,TotalSamples,Iteration,MaximumReturn,MinimumReturn
-0.0010969825384743303,108290,63,-0.0007302251816325311,-0.0015539109402882985
-0.0011797025640571976,109956,64,-0.0008823172604525366,-0.0015443843983451052
-0.0011809020120942717,111622,65,-0.0009278098365039552,-0.0021548185311805164
-0.001132046366263926,113288,66,-0.0008502106313614735,-0.0014856016265225697
-0.001105587833221071,114954,67,-0.0007741260061943344,-0.0015299644149515993
-0.010207154596916141,116620,68,-0.005865006361183463,-0.014220226498135142
-0.001053107452733842,118286,69,-0.0008227318430139626,-0.0013949773042315262
-0.001071400725132068,119952,70,-0.0007721793314799165,-0.0014988769368791618
-0.0009970644404338834,121618,71,-0.0006452521542285798,-0.0012851742740015745
-0.0009905635575733621,123284,72,-0.0007362698167162646,-0.001488074985809132
-0.0010025309158457488,124950,73,-0.0008296582288086872,-0.001274432900208079
-0.0011659921410875152,126616,74,-0.0008000839236429461,-0.0015859782966679496
-0.0011586277194627446,128282,75,-0.000652292358472764,-0.0016196014780187622
-0.0010046345672865859,129948,76,-0.0007426749512823712,-0.0015462712682480465
-0.0010080023681014324,131614,77,-0.0007706551225351457,-0.0014087230711473122
-0.0010431922585464213,133280,78,-0.0007979057959381253,-0.0013258921199712354
-0.001049013087298883,134946,79,-0.0007527194391080946,-0.0016392252721658352
