TotalSamples,MinimumReturn,Iteration,MaximumReturn,AverageReturn
3332,-6.3275455125145115,,-0.02562828538584716,-0.5438094298161344
4998,-0.04255537350949365,1,-0.01870771059029977,-0.027294520026487457
6664,-0.0016090174073452328,2,-0.0010048219002385989,-0.0013592989406780865
8330,-0.03677452863361225,3,-0.022389556029478522,-0.029025433552088694
9996,-0.001905360748460678,4,-0.0011247550761008768,-0.0014617584093652635
11662,-0.5641169590460512,5,-0.025055021971499204,-0.06197323130612872
13328,-40.48534154123471,6,-1.5463576323884374,-17.772331008604027
14994,-0.04332612911950805,7,-0.023054931549337507,-0.03116296603350415
16660,-83.05800455471923,8,-34.26719667753469,-58.901087917565675
18326,-0.11154679361204674,9,-0.026310458015379273,-0.04996323119945573
19992,-0.8218641725828777,10,-0.03041059511226034,-0.22501898547146518
21658,-1.5812993872531431,11,-0.051413770857827244,-0.21884690320898922
23324,-0.0986406615655571,12,-0.03395701043733654,-0.06431095067773386
24990,-0.0029903974406537506,13,-0.0015910235737845344,-0.002319683311263145
26656,-0.010962933406486176,14,-0.005038394794531566,-0.008819549134679699
28322,-0.0010571614000765485,15,-0.0005899649613268492,-0.0008833377214654718
29988,-0.0065047928166075235,16,-0.0008755283782623135,-0.002277902887379235
31654,-0.034392662842943005,17,-0.016314518355833637,-0.025517044329577555
33320,-22.436706888343487,18,-0.03921075259526998,-2.6323890653609276
34986,-0.018459857131946176,19,-0.0015783580140208678,-0.006908579241112016
36652,-0.08345214531281105,20,-0.029842031762153273,-0.054976780028683295
38318,-0.011576619652779405,21,-0.005099700054927038,-0.007690015159245385
39984,-0.12610656697509964,22,-0.05644033557096298,-0.07784281594155758
41650,-0.7844115243402914,23,-0.020647138365421758,-0.09741655605772256
43316,-0.13665438902700397,24,-0.02261241934899654,-0.03935149105712471
44982,-74.23748451465265,25,-0.47033520690596026,-41.80943741187325
46648,-0.1506902438797831,26,-0.03494171047109249,-0.07072312356180087
48314,-0.08916788646639952,27,-0.033391997468983206,-0.045584172527069776
49980,-0.007958134243707714,28,-0.004191972336605822,-0.005723761104438515
51646,-0.04971584396972661,29,-0.020100762050925494,-0.03212292728020271
53312,-0.00503406839479489,30,-0.002396703096280011,-0.003464752975703195
54978,-0.013584376623897314,31,-0.0019151938362566082,-0.005615430497264883
56644,-139.0883325421692,32,-46.768720773567644,-111.36604586577926
58310,-0.07792818685700045,33,-0.027144855234064767,-0.0424107199431628
59976,-0.16390087789459362,34,-0.0846301772675326,-0.1233908889075338
61642,-0.12138950305456779,35,-0.04377445928213868,-0.07625849973818111
63308,-0.02413675516320812,36,-0.014291525648727687,-0.018433628260943354
64974,-0.00468869677168769,37,-0.0008108257043217702,-0.0021303041162547857
66640,-0.04518745006725113,38,-0.02050443009243872,-0.036343429791273224
68306,-0.006154313179664954,39,-0.0007777105920899575,-0.0019905955813981275
69972,-0.00689574257462872,40,-0.0006951235276464197,-0.002289112584364002
71638,-0.8087448923704136,41,-0.08845192419937084,-0.15168248705527726
73304,-14.46863342442344,42,-0.05251323169104991,-5.001811195850975
74970,-0.03893359273344048,43,-0.0008270479845455404,-0.008613898508962702
76636,-0.03205002523120252,44,-0.0007392461379823233,-0.004585556788266815
78302,-0.24716025846139508,45,-0.07209716654355353,-0.15380311299308405
79968,-0.030883130365320637,46,-0.0007305964402549089,-0.005923070322529311
81634,-0.03206096461947737,47,-0.000571190191057657,-0.006348640923869985
83300,-0.032088334229181,48,-0.0006362317271992536,-0.005379872536268691
84966,-65.04058396239994,49,-0.11934448475058278,-2.786083974694276
86632,-44.48957368254051,50,-0.14128667157312488,-19.83957257685786
88298,-111.28794615867633,51,-1.4032452747448079,-16.776993970333937
89964,-85.9314957463752,52,-0.22493252220183207,-17.25948013068095
91630,-0.5355925011416431,53,-0.0007156243126938708,-0.06626743488888076
93296,-0.26198607564635334,54,-0.0006451576357240518,-0.019712643551995524
94962,-0.16010431179372128,55,-0.00064184397150074,-0.007273850600717594
96628,-0.5310361785167754,56,-0.000679038289989407,-0.10433145395497544
98294,-0.7938584581719232,57,-0.0006997521255118692,-0.10170976358351907
99960,-41.43278227995847,58,-0.47621736710891366,-12.795297779677064
101626,-71.43145773536861,59,-0.001870652085231802,-7.494250723894943
103292,-147.95524137913895,60,-0.0016886058285160935,-72.62554766986528
104958,-170.3743899285749,61,-108.07637456666818,-139.40129446281568
106624,-202.2983707920629,62,-4.923523902308578,-119.64536034580095
108290,-132.25347468258317,63,-1.3171177220658947,-78.3271012071391
109956,-161.22581650166748,64,-1.5320811895516053,-55.33681124040682
111622,-200.4777106228389,65,-2.0334285806914965,-71.83577568874094
113288,-91.92562609155353,66,-0.0011145990995291622,-5.150807624720821
114954,-128.59390655460427,67,-0.001255731407057702,-8.14352872821164
116620,-1.0204724620643861,68,-0.0007078344512610302,-0.07569744479072232
118286,-185.77762965464106,69,-0.0029642355401697665,-67.25256559945633
119952,-196.8791301565056,70,-0.0006595047310111394,-11.268826513836354
121618,-151.95707136064422,71,-0.0022783882863695545,-27.458214153270568
123284,-223.3177577295396,72,-29.312361923809107,-141.35409315558593
124950,-217.9144866230345,73,-24.582948207473756,-150.02932741112923
126616,-177.53880196984434,74,-0.23431714709639553,-75.71908208329887
128282,-227.83921349538562,75,-78.48802427790282,-191.21457265879096
129948,-190.81519905172027,76,-0.4857177790165889,-15.074583816552988
131614,-208.04418415852626,77,-0.8404891479469239,-65.5099542983977
133280,-157.08849593708965,78,-1.0939879449690488,-22.97190846989802
134946,-189.95201828090845,79,-0.8517399800367321,-75.26979032163287
