MinimumReturn,MaximumReturn,AverageReturn,TotalSamples,Iteration
111.56641008266482,198.62465827285027,170.08844289111406,6666,
116.97652635844831,199.09188249689637,170.7192325984281,9999,1
125.24077606310965,198.63232919474584,179.8748889432563,13332,2
120.02534100924686,198.3612014198181,168.77110980998387,16665,3
127.91267373238118,199.1588365608596,172.95176997118776,19998,4
123.66057452882602,198.64535619775143,168.78058393319967,23331,5
128.61414617658767,198.25468781285707,169.57588040152717,26664,6
126.18055225123756,198.57730598591303,178.30016776563744,29997,7
125.30129035594581,198.9415358632179,169.8160734699743,33330,8
122.23555630552643,198.8638954010518,173.36433142520625,36663,9
123.36191486452469,198.40804757984623,172.63365919612156,39996,10
121.65249378906526,197.64869835346684,175.76650999454694,43329,11
126.97168320028297,198.44413234142766,173.46139271468712,46662,12
134.84746390536853,196.34362335554047,169.8681175068303,49995,13
124.41431538140228,195.91895803335058,170.99370049230185,53328,14
112.78189632599124,197.03733911624946,170.09738137837007,56661,15
135.51159987741985,197.71271093155136,171.53079272821225,59994,16
118.81002163340915,198.440831504623,175.22968274764833,63327,17
127.03595889961007,198.70879802442516,173.13734824596082,66660,18
118.52531558754882,198.65687082252592,169.66628791336316,69993,19
126.53008083252939,197.6681376516889,176.24575705541585,73326,20
126.65539482970296,197.80623084149778,172.1527483844143,76659,21
109.47819558235926,197.9005810406799,170.39180069281352,79992,22
119.27071304647315,197.68992236847333,168.7180294218494,83325,23
113.41080006473406,197.75889469817525,166.29792885311508,86658,24
122.86668248816363,197.35129578235896,173.981171603628,89991,25
64.2056877905201,197.08463763165463,167.77881872661578,93324,26
103.88581574121723,197.64695993849062,163.18972111565202,96657,27
119.63833345346478,197.76980852434053,169.5166196854655,99990,28
120.06298972594158,198.32029150155319,166.6352048931069,103323,29
122.49370162898542,197.9685497893385,169.18712695126501,106656,30
121.81059349611924,197.58150360607067,169.25895048649562,109989,31
122.22403998035733,198.2651805547331,177.09622510164473,113322,32
127.96960399815246,198.15054117503993,169.76819636992317,116655,33
116.38177189835022,198.23064172621835,165.3716213612333,119988,34
114.89091110504668,197.57656932225288,160.39249332603578,123321,35
109.5417883705338,198.09759516220336,169.82035311694202,126654,36
124.86406770575077,197.42271441872984,163.59095256038253,129987,37
132.58912653200449,197.69632489793628,177.9274113399067,133320,38
118.31939001206167,197.52854294443264,167.9778941021229,136653,39
