MinimumReturn,MaximumReturn,AverageReturn,TotalSamples,Iteration
-21.5731300253454,20.599039523237963,-6.6424330022729485,8006,
-19.775124043642307,8.973427706821841,-7.155820596015044,12008,1
-19.866688512756074,6.645638459044755,-6.295940044234338,16014,2
-20.878361868674624,2.015600276284078,-6.344728170725462,20020,3
-18.426881014182758,8.919403236125254,-6.079282327875767,24021,4
-19.608083030981028,10.712325844569476,-5.855131630673918,28025,5
-17.501167711416148,3.644513614416109,-5.9893994268832795,32026,6
-17.178662256581845,2.149750657548423,-5.950778593873104,36032,7
-18.641031050987362,10.021884445761955,-5.884799223340844,40032,8
-18.224701745413203,5.647890650251136,-6.162427873025271,44036,9
-18.97852102301528,6.623980253433884,-6.04514642467614,48044,10
-20.38569952624355,7.077320133069992,-6.386525301021033,52044,11
-17.340575828315608,6.6104711308411055,-5.95896339878497,56047,12
-17.387265442819395,2.9386253232758435,-6.241209024973342,60056,13
-18.37973078008799,2.052787237932428,-6.1378092370004635,64062,14
-18.924815709919546,1.752095807005485,-5.9231551451162385,68066,15
-19.15688504939277,5.8062495469496005,-6.287068944960839,72071,16
-21.62819458564011,9.6633740968474,-6.2514696960024985,76072,17
-20.046084453676084,1.2008413441379369,-6.477191353933136,80072,18
-17.727736079180133,3.616230795943613,-6.2091702932706845,84072,19
-16.864397539300942,-0.18446731180721487,-6.384422198129093,88074,20
-18.561349170365425,3.3510102773002175,-6.475970860188594,92080,21
-21.169880017510657,0.46890426318109046,-6.308321630288098,96081,22
-19.055329981375433,0.8182476000269954,-6.278896940563609,100089,23
-18.104645585756177,0.39193027462211383,-6.376709285074541,104095,24
-20.83832084235192,5.797900157941048,-6.2034162955265835,108096,25
-18.406594330070497,3.039246432565752,-6.343267546867508,112096,26
-20.9481640907788,1.147743180477858,-6.518841998841231,116100,27
-19.843692212172794,3.0432644588432023,-6.175043555102059,120102,28
-21.793454652657815,3.412390958516093,-6.21926737115642,124110,29
-17.462511327774987,2.819821764335006,-6.08261136155224,128111,30
-19.84104264441688,4.656490211422485,-6.133048251022148,132115,31
-15.708609007339348,0.3001690769637313,-6.084597903116449,136119,32
