MinimumReturn,MaximumReturn,AverageReturn,TotalSamples,Iteration
-18.832207015964343,9.972154113980206,-6.906393772021213,8022,
-17.94858055596603,8.641316210582376,-6.3453715390396,12035,1
-18.941156950734662,2.4531553040139067,-6.326893615562954,16044,2
-17.629558578917997,5.221696575195551,-6.106925148906883,20044,3
-20.470205828564367,2.991603521261264,-5.9746628228430945,24053,4
-23.10521586258132,3.9842583569454075,-6.022184347032121,28059,5
-17.39126749660495,3.184633682140955,-6.694858558045289,32063,6
-20.54892889318223,4.275377819652791,-6.10058008590542,36063,7
-18.22677046413265,7.644265926274107,-6.440460624091132,40065,8
-19.22974706620642,7.857023132662987,-6.545628080179433,44079,9
-20.61939308946832,0.8533875642137982,-6.605102746490623,48079,10
-18.587402051755483,6.17411007062792,-6.691509310228638,52079,11
-20.473417116709832,3.7635023373014267,-6.408492112674201,56084,12
-19.502573439129712,2.5247247794788823,-6.551572062523479,60086,13
-18.23742681534551,8.880255447281536,-6.3596984596030515,64096,14
-19.21811182628196,1.5552337087150194,-6.443299348230534,68099,15
-21.637607814642717,0.8570015496774019,-6.710719522325744,72101,16
-22.205863499080383,6.632075313740552,-6.837108690405228,76107,17
-20.549248511554154,2.488843194706299,-6.569390226905391,80109,18
-20.258311875285045,2.6080314472374724,-6.454633161535966,84109,19
-18.690435289305565,2.2460266751651643,-6.543791327009844,88111,20
-19.54264768285161,1.9418836286301797,-6.340862578782598,92112,21
-20.554091364298966,0.9436104679143331,-6.3969836407430725,96119,22
-20.33744474508568,-1.4712923205371986,-6.573248324635105,100125,23
-18.153703870369075,2.4610805713063404,-6.4874599089877,104128,24
-19.74086113478725,0.2294321051162722,-6.701231464524665,108129,25
-17.636966818608514,2.040751172275506,-6.164649690819286,112133,26
-17.6199080563721,1.0415678774754973,-6.263042300510003,116139,27
-16.26974930597794,0.9431906990365344,-6.232657028212497,120139,28
-17.6534730737647,1.1179477867091245,-6.126493983383046,124139,29
-21.3988383417552,11.897969519319243,-6.07255578479466,128139,30
-17.722012481995378,3.745058023025387,-6.166587241465418,132143,31
-17.60313203679459,-1.2491855655791846,-6.20084337625635,136143,32
