Iteration,MinimumReturn,MaximumReturn,AverageReturn,TotalSamples
,-23.31946800409976,-14.048062044767796,-17.863863649690433,8000
1,21.33392924490954,28.211640116701677,25.162233815752483,12000
2,-3.3767428921112463,2.851028268277928,-1.08195451123212,16000
3,-22.61175995280915,-15.267398100990942,-18.02740553930886,20000
4,-6.141997224939775,5.5434889779022685,-0.881783231538046,24000
5,-4.804102087289323,7.357668502259111,1.7785786247398583,28000
6,-14.129569155091508,9.023377915158127,-5.270816687368607,32000
7,-13.949791567987234,2.220795851646014,-2.6532223017919505,36000
8,-12.810607970257541,1.2509100249058838,-4.534807737339967,40000
9,-10.075632948542786,2.5201492993838843,-3.4695281282935575,44000
10,-10.891018109902216,1.1693040056093709,-3.3898331501486,48000
11,-2.199796462564236,9.201814381849795,5.002544355913692,52000
12,11.946556477183602,34.66732531435157,23.99192770119105,56000
13,98.9697550914904,134.03399880019148,117.19222950901458,60000
14,147.26880498765183,181.58435315490834,163.2007221827412,64000
15,275.89194286094107,288.5224649759221,280.48165297460827,68000
16,301.7035163626021,305.6173547045394,303.68383168429506,72000
17,299.0270585231669,304.57418772139056,301.52896510679034,76000
18,321.5942706153365,324.76755726942463,322.9544583347353,80000
19,322.27063703416144,331.74780223270915,325.1544616962483,84000
20,318.66213347542106,329.5321694592737,323.1811650821414,88000
21,315.2434686148033,326.22113407774475,322.53465937418946,92000
22,322.73729414517896,331.42102189323333,327.8970826610367,96000
23,320.0412609518002,328.55778458406695,325.99027037975287,100000
24,314.7660112129713,325.66409904603233,321.603342097111,104000
25,311.5121892461832,320.9223141794348,316.0581192594873,108000
26,326.6135631239916,333.425392686287,330.7889491019674,112000
27,334.7650027254496,338.20133149147625,336.8409309614257,116000
28,337.3387969183111,346.06263411035576,340.6775216428119,120000
29,334.7591879108179,342.27037936924586,337.3779983875998,124000
30,334.50737876367504,341.2243943947339,337.0897241205915,128000
31,337.3869793431862,341.3384705354028,339.50602703326547,132000
32,337.82131816454995,342.39618641558593,340.3510715892707,136000
