MaximumReturn,TotalSamples,AverageReturn,Iteration,MinimumReturn
-168.59338520937297,8000,-258.4117834685173,,-328.35427165468366
268.9347855986985,12000,128.963959962303,1,-296.64130714850216
360.4471492688853,16000,311.9100269909003,2,222.12307890113829
605.2450047705593,20000,520.6273126071266,3,437.3009997164964
778.5539312430338,24000,542.3705632799762,4,-407.5018919351279
861.4095407684354,28000,814.1452497403012,5,748.245398643123
956.9715288879124,32000,915.5975076977921,6,878.1332830475355
1016.6445577167403,36000,986.496633266993,7,934.9649245540417
1057.3037847434864,40000,749.5209019692678,8,-481.86741335355055
1107.0858342026147,44000,999.6181190950674,9,933.2720710238038
1132.792591851535,48000,1052.7672777230584,10,974.1315029982072
1042.451115012281,52000,975.0886655372092,11,896.0562372598921
1040.434695307392,56000,998.0459324647704,12,954.6755925756291
1028.5410003678096,60000,1015.8077368166126,13,985.9626270238571
1136.0120020998793,64000,1025.127526449974,14,828.4432564226545
1115.7611003854781,68000,1072.989212207159,15,1045.8340333805004
1102.0959967084611,72000,1039.7957497219084,16,996.9196562824121
1137.2245216081624,76000,1041.8187530583127,17,894.8892297979463
1080.7116684606015,80000,1033.133416841456,18,962.7917241241055
1070.1109758875136,84000,1036.0867374478792,19,996.9273310871262
1064.998750661706,88000,1005.0503043895504,20,920.0989891153605
1092.73485900768,92000,1057.1861660547027,21,985.1426768015782
1123.0234546347713,96000,1081.324671437882,22,1023.9857034964748
1113.523116192761,100000,1025.9356073044087,23,937.2770292599315
1215.6775344977646,104000,1096.2021810769986,24,1025.0991364822348
1140.7916565640844,108000,1084.9002837415358,25,1030.889581902706
1135.9131992469665,112000,1088.3039124699578,26,1040.3751418960621
1066.3842586267745,116000,1048.181216378398,27,1031.900933665468
1152.7119634124538,120000,1102.0094413842207,28,1047.9742099121918
1161.1168259406797,124000,1079.1421735065576,29,1018.01325916031
1104.1507915374489,128000,1078.4304792045332,30,1032.9465631645585
1184.3603915491256,132000,1126.6670028937986,31,1087.0733132589983
1118.4404369567415,136000,1081.9626686753118,32,995.3309381547145
