AverageReturn,Iteration,MinimumReturn,TotalSamples,MaximumReturn
-2094.810631606239,,-2983.5454766312782,8000,-722.6231346594872
-2183.691608004921,1,-2726.5750346503073,12000,-1704.0112704034618
-2530.126780671645,2,-3032.334703708522,16000,-1876.0688886292855
-3063.0018699132706,3,-3123.3821938314454,20000,-2986.518097275637
-2593.775063201743,4,-3063.96449930049,24000,-1310.0916344369166
-2385.5269360816096,5,-2907.31438413552,28000,-2128.4122919054366
-2247.2933466299332,6,-2975.6294580629333,32000,-1344.0288291142995
-2584.248537595087,7,-2925.14048130492,36000,-1635.280899953441
-2081.3970079428145,8,-2434.143031986778,40000,-739.0108663410598
-2325.244878337633,9,-2517.5477565612955,44000,-2143.3166026878716
-2029.9470017079004,10,-2466.8621244057117,48000,-1301.0787757718178
-2431.4571704274317,11,-2638.9228981724614,52000,-1993.6985063707907
-1709.0575144834004,12,-2335.360840343855,56000,-1467.6453026896727
-1531.6880144444133,13,-1744.0338577407945,60000,-1264.3849831099449
-1210.0205262660536,14,-1425.4358683551295,64000,-856.1735897803866
-705.0440790996487,15,-1453.4259026902205,68000,92.22915426981619
-1186.814903143348,16,-2309.9800150723386,72000,-364.2625393077552
-1322.2587263314751,17,-1708.7434759028363,76000,-826.9752459194116
-1048.89840608343,18,-1744.8508616606696,80000,-617.6807292269177
-1151.5345942223958,19,-1984.7844636745008,84000,-800.0673643773648
-1529.5000009939288,20,-2285.109044649508,88000,-896.8654666030625
-1254.6009264761876,21,-2332.3450532664074,92000,-727.0339597235719
-638.2460778903778,22,-900.2540010468151,96000,-453.5525614764639
-626.7793620391382,23,-825.7828938215622,100000,-352.2363684082872
-1127.170024845351,24,-2537.2486710909966,104000,38.2121648088445
-1947.6438896267691,25,-2657.3065293050645,108000,-465.7413044069153
-1076.4451872186635,26,-2317.741984774391,112000,-390.7635417839687
-1429.7094258116147,27,-2761.471297687932,116000,-537.4281797445315
-1694.6659137698668,28,-2738.023440144789,120000,-575.1255847362354
-1385.4833138928286,29,-2273.5779674401656,124000,-890.4161774257557
-1656.3149555812831,30,-2825.6631424486854,128000,-1200.3285608665585
-1197.2519792466649,31,-1433.4117112132897,132000,-967.1618527914464
-1703.8418774937388,32,-2608.6984127616415,136000,-1015.5403197372818
