MinimumReturn,MaximumReturn,TotalSamples,AverageReturn,Iteration
125.44162136472359,198.9691792427728,6666,166.8107258800563,
119.84132096372595,198.94037382042876,9999,169.0145892462536,1
131.12836788921993,199.19847573183102,13332,176.1716413695796,2
118.37739000812893,198.81709367255357,16665,168.31477594267704,3
117.60408256777244,198.81578048102998,19998,171.233486009062,4
113.12796998734174,199.20801451095394,23331,168.42188176746242,5
130.7772258255965,199.09833829367156,26664,172.31622468611064,6
126.10532619300388,199.06662477820547,29997,177.0967405288444,7
121.08032093306714,199.37838230723634,33330,169.55395496780395,8
127.53023994054806,199.11178011880207,36663,172.9531651619589,9
123.81777375331468,199.36415380515226,39996,178.09810663921272,10
120.76532523281246,199.06194018149452,43329,169.37854343500277,11
126.16989909567442,198.4533076635483,46662,169.52046964145546,12
123.59022016373348,199.0603946958667,49995,161.93799596523897,13
137.23772340196282,199.12111976895966,53328,174.77450370214848,14
131.6571988204288,199.3360292888555,56661,175.92229669637197,15
127.29692088002395,199.14605383374516,59994,176.99102605804094,16
87.97677255959682,199.1282702897614,63327,170.41882344766609,17
122.79172507837428,199.12400020862026,66660,171.77456116385756,18
122.452879667931,199.31114225877874,69993,165.26301026513073,19
125.8149922114508,199.22175243187812,73326,170.64714243919607,20
126.49520628662383,199.0254118384642,76659,170.98222899857842,21
119.45308750835302,198.75857328631395,79992,164.19286591749125,22
112.4546925919347,198.8443226421209,83325,172.76944965612788,23
122.32175971086922,199.1235856907958,86658,173.9507058889502,24
114.59557963683572,198.15490492389486,89991,163.71620154311188,25
123.73168753921806,198.16129394847152,93324,165.83004782357042,26
131.50755389803336,199.2220782876011,96657,171.37870770458932,27
125.28904788567397,198.75101593020537,99990,165.03575158784247,28
127.22037320261225,199.23706171505378,103323,172.35920736231776,29
127.13379777942325,198.7387752911427,106656,171.78161469069738,30
131.8543130029382,199.2454224806215,109989,168.39560484965787,31
117.75940130918703,199.12854167801612,113322,173.76319886812246,32
108.5371609257164,199.08211960940164,116655,161.92715710749366,33
128.36663012418802,199.2461742989779,119988,175.09755199195197,34
127.02526626232529,199.22227239515271,123321,185.77215038214456,35
117.90110594712608,199.1203745941461,126654,174.74816510606195,36
131.44117515638203,198.7765128370489,129987,172.4406371618869,37
123.0895079203174,199.0509012352873,133320,171.59427724812772,38
121.01783431649181,199.32641602175613,136653,166.8585479367338,39
