Iteration,MinimumReturn,MaximumReturn,AverageReturn,TotalSamples
,71.59000998626519,94.06289643997368,82.74719980229912,8000
1,188.0241227152416,196.81820676350793,193.49922187200352,12000
2,209.43115851330714,220.0880719669806,216.01920211361661,16000
3,207.50065160094516,216.52483561558554,212.0048659342278,20000
4,251.1608828034554,255.19250313552647,253.44740565193433,24000
5,259.18617223530686,265.8628040551872,262.39025870131377,28000
6,280.19216131072733,287.4383820381637,283.8534134387603,32000
7,272.9108373789191,281.6551118846895,278.4969817465252,36000
8,271.0200687409485,276.2265168515978,274.14770534403175,40000
9,291.17473041229226,297.2325467479137,294.8449791716842,44000
10,314.81983554543694,323.77312474218434,318.9777628692771,48000
11,323.2465347448902,328.63747641959884,324.9785206221144,52000
12,319.25022313171127,325.8413019131888,322.220050870654,56000
13,321.9303788477652,329.7248376449772,326.13917662615864,60000
14,331.13707571896475,338.0368985515178,333.5226700514265,64000
15,327.00081621541557,333.4022685385029,330.91181626654367,68000
16,324.8483561411122,332.8269206139416,329.9814083307952,72000
17,321.49419929602635,328.8238200544058,326.7963206908343,76000
18,329.1483550566023,337.21800214712414,333.5314954891208,80000
19,334.07426260360745,340.44019463074744,338.4616296465512,84000
20,332.4451090180706,340.91209421543397,337.1640374366869,88000
21,337.03897717646566,339.8154963190218,338.6442302135551,92000
22,342.33804856070407,348.7287868406184,346.0196589339109,96000
23,340.75003883111594,343.26769100274936,342.0016481014348,100000
24,335.8770231173038,347.01669825872386,341.7042199985214,104000
25,341.3402771641765,347.8712222090052,344.2543584876482,108000
26,343.016701517098,348.0517420318149,346.2610855865846,112000
27,349.38254418746465,350.76454602434035,350.1603184470894,116000
28,344.0354400654806,347.9640116196946,346.2646357732401,120000
29,342.9507880541714,348.2982734390011,345.4217434979357,124000
30,334.5106175739713,340.131374056914,336.65365103557184,128000
31,337.5945537697039,341.2148704696326,339.68540515651847,132000
32,340.2093524126229,346.1330707190429,343.53990538567814,136000
