AverageReturn,Iteration,MaximumReturn,MinimumReturn,TotalSamples
73.18678116768827,,79.00977212028776,67.55036848698343,8000
179.15130654847235,1,188.37773729800676,171.0314066698334,12000
202.33268958415053,2,207.6234060820777,196.6343766065972,16000
165.21742091441374,3,170.82657714252178,160.5956669122308,20000
197.1188989761447,4,201.0408266598706,190.82086787225646,24000
196.10614460546864,5,206.08862333488844,189.51929060703677,28000
166.31469267912206,6,173.7730005505723,160.06951663791003,32000
185.78736496091145,7,190.6620000555184,174.79140191811115,36000
156.07029255095395,8,168.69541434520278,147.02349024675135,40000
155.5180693806827,9,161.29070897208445,147.09399740134535,44000
148.41180280858362,10,162.72064838502234,137.58239671989594,48000
162.9273705646925,11,171.36287155266533,153.70038562557662,52000
177.3423790851383,12,182.21984769580564,170.36365307675712,56000
186.3833509467711,13,191.92772335652765,181.6432071966214,60000
179.20566284343894,14,184.5020226553914,170.96399235447888,64000
190.68894994017964,15,196.00031100894716,186.2667573447675,68000
205.96369411271596,16,209.95903512698476,199.94343224291882,72000
224.954022027322,17,228.3982897570881,217.46480748068788,76000
267.1230722035675,18,270.9163422247419,265.17008755091496,80000
280.00181547469305,19,282.8922809487262,274.9380879168708,84000
286.3414724536182,20,291.4413293911092,282.2594299048959,88000
292.6001450710201,21,294.6608384464505,290.4351481130876,92000
291.49168862126197,22,295.8107103211181,287.2206425376959,96000
303.3888462952276,23,308.80675486519135,292.60951818361184,100000
309.3724813934121,24,319.813611560009,302.7226727295397,104000
305.3047128503704,25,310.8857976259132,298.3532966597892,108000
309.2130012617194,26,311.1738815496458,305.77641324359394,112000
321.891903214402,27,326.76245845099584,317.94438500591934,116000
320.8996709113099,28,327.4383569687333,317.57637968621674,120000
326.5926533780257,29,329.513999872349,322.95414435937346,124000
326.250222646804,30,328.745875352087,319.8228137500307,128000
327.56078340281533,31,331.0147572885698,324.3797428334831,132000
334.7967074283077,32,337.34857696704773,330.54942572784205,136000
