MinimumReturn,MaximumReturn,TotalSamples,Iteration,AverageReturn
91.51838285501816,198.6008653030307,6666,,165.52848563962428
99.21034030105224,198.17136165512775,9999,1,159.9471247481953
114.41328135694988,194.2788619465255,13332,2,161.65282669889572
113.29736194375039,198.79316518466945,16665,3,170.65993853767264
101.9274244599247,198.55246428562185,19998,4,152.70701657335906
114.884955075447,198.4488755291259,23331,5,162.68179457412015
100.4014640715203,198.46391810974671,26664,6,165.03118979384072
101.31142599182343,198.58261407106642,29997,7,163.79193235982407
107.36315511880011,193.2093433666191,33330,8,158.54214195224654
120.29466459440401,196.52943322723894,36663,9,164.74364378049094
122.75057012768994,198.35597912166534,39996,10,168.12006422836177
49.33257190995106,198.54118878637857,43329,11,167.2750798444838
112.37172469698233,198.64467897638895,46662,12,171.08664517008103
114.69704933211669,197.77904187603576,49995,13,157.7041978044256
102.05321454106078,198.3992691346293,53328,14,164.19329356350602
112.72383851853945,198.40219090913877,56661,15,164.01870135440046
114.94840299084257,196.72017512109167,59994,16,169.24598640250832
116.96881260939556,199.0188246362434,63327,17,172.85168087224804
102.9707139913597,198.76557425462244,66660,18,164.63217091487564
102.42881034638961,198.72859664627626,69993,19,171.29315361711915
106.26468347529921,198.92847720611988,73326,20,162.2945365332346
120.65261942532845,198.8809300165031,76659,21,158.76240294601618
127.69696216105976,198.54486340416946,79992,22,174.61485639806904
117.71139822503699,198.6767321953828,83325,23,161.4655368519416
117.22022643934388,198.71479987606313,86658,24,162.3721630736802
123.51437565101925,198.2051806433748,89991,25,173.06657835704192
118.52313367680806,198.16201744831773,93324,26,163.27512249111317
106.72835745877694,198.00416901613062,96657,27,169.41314451435284
120.24023879538194,198.13175701537145,99990,28,162.90503542464572
137.62040844369054,198.61126435306977,103323,29,177.52870602606228
115.23216620565891,198.8023449228352,106656,30,162.82304039740285
121.5248463764197,198.75148682747718,109989,31,170.04000723703757
127.69433325996017,198.3366722455651,113322,32,178.19901661095065
112.47347498228011,198.97173221927628,116655,33,171.9336409381064
121.54179410085193,198.83049231695168,119988,34,175.5330295354951
118.6563521220624,197.7035564962658,123321,35,170.2835661144937
120.33083747502269,198.60137982316957,126654,36,166.45519780507428
120.95858625563204,199.1226769813352,129987,37,172.46833974087593
126.5506451157776,198.4036796544073,133320,38,177.5415032603653
124.31039337786409,198.50629103890046,136653,39,171.01411157357236
