TotalSamples,MinimumReturn,AverageReturn,Iteration,MaximumReturn
8000,-432.14795935132895,-376.4766357702015,,-316.7194653538949
12000,-416.96315796027477,-350.92495669671706,1,-301.6539123349556
16000,-100.95008286182662,-83.6247616655074,2,-60.002088910586174
20000,-742.7062378570407,-592.6783637650315,3,-421.67233227966926
24000,-342.5365479406368,-140.3784150654549,4,29.29337345343999
28000,-381.8399163566649,185.0094702746146,5,480.0437237631862
32000,-568.445176973638,-413.51613281784995,6,-19.981475334706893
36000,-557.2347496968349,-234.51659059084622,7,146.4116740119261
40000,-407.92002543378476,-297.1637395329148,8,-206.29326602685614
44000,-576.1771193617972,-391.16463709475244,9,116.21737017140225
48000,-605.5982045505851,-575.5127643439408,10,-536.5544672447998
52000,-602.4735338806911,-572.5436675100555,11,-532.0078712977341
56000,-607.9224786831285,-603.2757800200583,12,-590.3997002533911
60000,-610.4838656689058,-544.5027805658518,13,-427.2050172834843
64000,-605.0475254425614,-466.44272061631995,14,-370.0327984957693
68000,-557.7891441990687,-298.39758445939174,15,398.8542630323515
72000,-527.1471656527863,-221.85728434543776,16,229.20716163245635
76000,-517.8204453569873,-341.3136872184645,17,89.5207608129817
80000,-479.18459244985723,-319.8471300648993,18,-120.98886961840189
84000,-470.58794192051204,-382.4848340090677,19,-220.53853794295438
88000,-484.4640671689579,-340.8855965915257,20,-148.76851507588103
92000,-559.5203420522123,-283.4208860722087,21,-77.33109230218807
96000,-396.709652039891,-267.88738076169255,22,62.825197688316486
100000,-529.3336921050817,-193.32817768043228,23,465.1023795216791
104000,-506.8627718998835,-291.78186948098715,24,14.62867603752772
108000,-495.10435797084665,-393.5197526828769,25,-339.47750255677266
112000,-510.72836141366736,-396.5028344957312,26,-277.429692249367
116000,-394.0491703010358,-285.4016794352196,27,-94.29655437903347
120000,-438.4479347537397,-335.5006990368509,28,-93.09302193018638
124000,-481.3278928087869,-428.91886711767785,29,-344.9879695670587
128000,-572.0274154265643,-401.8531991289539,30,-239.9298180048632
132000,-446.68160370608,-369.29283683644195,31,-249.83360672480416
136000,-578.352291297739,-481.7496542743356,32,-322.4284701344773
