AverageReturn,MaximumReturn,TotalSamples,Iteration,MinimumReturn
173.06077766573708,198.46226074385984,6666,,86.20634078433076
170.02327265245208,198.70637697678205,9999,1,120.09580527868171
175.06047276786705,198.5308990898954,13332,2,111.85261121306581
173.18477069421894,198.3547879565022,16665,3,121.44478425288453
160.61928357990038,198.54898356936417,19998,4,124.8195339547586
169.33699374778692,197.99082186504376,23331,5,124.80400629730171
171.29793362448814,197.83677097872226,26664,6,124.55400556855056
169.10357485277157,198.2784211203474,29997,7,122.99978602465735
173.62076968833426,196.6991690903251,33330,8,119.59187960574184
160.4514642865802,198.80864336230294,36663,9,119.05703318460372
164.21065380233875,196.36695523509766,39996,10,109.3189753063237
164.82628152867946,195.7204645594644,43329,11,124.0170649975363
170.20607927126647,197.90795074401947,46662,12,112.53633318452705
164.96250871437604,195.49769654835941,49995,13,106.40730444998249
166.2521949837377,198.0010301120313,53328,14,126.12831568959493
170.6824041695817,197.3724226872142,56661,15,127.2639557553636
166.0946758051289,196.52406065887837,59994,16,122.59575226659594
168.3030869305685,198.5692332646045,63327,17,123.87768664092492
171.95267625511468,198.8274561059363,66660,18,123.55257631092374
174.2085208369157,197.84171591700243,69993,19,126.83890101431092
164.10991560192895,198.3855448533306,73326,20,100.39168156459505
169.75228979668725,198.35664047849284,76659,21,111.02784823930814
165.9444569361243,199.0253123216377,79992,22,113.18660521151297
173.65450821118785,198.88512273229557,83325,23,112.74737891541966
174.363519454812,198.48990655683866,86658,24,112.3026181633479
164.85425717687107,198.79519848227204,89991,25,125.48715715481444
159.30795094776602,198.80388977361963,93324,26,119.73526487512822
165.0262713527856,199.01742384567666,96657,27,121.46957916393599
171.17912567424915,198.6836906128598,99990,28,131.6161060591256
167.67774441367013,198.2811309354427,103323,29,128.87381617066671
170.6487751277986,198.52376778187573,106656,30,136.63582099448584
163.00941952293815,198.03928479392513,109989,31,126.43784546617856
166.20871428368926,198.57664878956922,113322,32,119.09406597330648
168.15643339699974,197.62200744337062,116655,33,126.02738005861075
174.8487157080247,198.8380548798551,119988,34,129.64502589293247
172.50953703556715,198.78081032572283,123321,35,123.62679437363657
170.79841588590662,198.18910669967389,126654,36,129.48069231638058
169.53431521632282,199.0677663145977,129987,37,118.62943766719964
174.52121540605899,198.26787104125577,133320,38,114.78712699847713
163.52792277879485,198.70060460605768,136653,39,121.46572253432551
