MinimumReturn,Iteration,AverageReturn,MaximumReturn,TotalSamples
-553.9033562629445,,-429.8548318381633,-324.5389942049104,8000
-358.13543346931385,1,-312.12260531814394,-249.58766732135769,12000
-257.02505109660416,2,-172.50381566456474,-67.22664027044827,16000
35.736104946084,3,273.5686675549957,425.02375851559555,20000
-53.40535010489709,4,308.4708340608065,423.34237032730965,24000
25.248682741566782,5,422.0325485919477,615.2326922628187,28000
711.7517852078495,6,772.046095228016,849.7940813170104,32000
-467.90959637733425,7,709.7383162421619,1070.7626675651004,36000
790.2478614780988,8,886.8811159100565,973.0877465850928,40000
-503.69553182311387,9,566.8670772344612,871.9485115708903,44000
784.9859565514777,10,993.4767118851736,1123.1368265393535,48000
-536.5731510336329,11,705.7570131991446,1130.86482611787,52000
830.4106222577627,12,1037.7733160597475,1131.9038056986753,56000
917.4880960522039,13,1030.5486052008075,1107.9343986110161,60000
937.7667976238646,14,1088.6512812161893,1203.35802993297,64000
972.5416214373059,15,1078.0761113051437,1179.483417887115,68000
971.2262128791974,16,1041.432559524305,1149.1018982470732,72000
-312.2498289225685,17,854.7467536217474,1253.9230536892103,76000
1054.3804684681716,18,1125.037092312988,1270.5612861875586,80000
-317.1038127723493,19,911.1431116301559,1272.5268997513458,84000
970.0809415722993,20,1137.15122163495,1285.3600071446267,88000
975.1495154815757,21,1085.9565620154751,1259.969015300413,92000
1048.521894413112,22,1202.1009919509008,1315.3097377486995,96000
945.1906876850778,23,1104.2519076761007,1161.3249091124667,100000
936.1875275890611,24,1091.0301514407909,1216.9613739403417,104000
1010.0960550389984,25,1119.0463770580473,1185.4126112113263,108000
1155.7692646011947,26,1196.252160673526,1228.4578056481446,112000
1137.391375897608,27,1175.4361594699826,1254.5626438185573,116000
1052.069353772956,28,1107.831858675097,1152.4301611922835,120000
949.8697333701365,29,1137.1213922496775,1218.1553582159188,124000
1115.020371152823,30,1193.6884096667218,1250.8095180946232,128000
1080.7948975353754,31,1187.8855729178958,1294.9281356975546,132000
1143.0633520992737,32,1221.5872021506875,1288.8302491077363,136000
