TotalSamples,AverageReturn,MinimumReturn,Iteration,MaximumReturn
8000,-417.7946169797354,-463.8987474815633,,-352.3548988467536
12000,-424.851130572321,-518.1245427074718,1,-327.1553923408637
16000,-73.26890276573455,-181.70738143822794,2,63.92870337870442
20000,-115.86062844115929,-179.94331663286226,3,-46.305920227876754
24000,138.85495446028423,-477.76960100533216,4,553.1114226519276
28000,953.6102972690841,525.0499222999252,5,1292.0330772084105
32000,1522.2631902756368,1305.8134689052144,6,1710.3368154074367
36000,890.1651966898779,163.9603973281376,7,1857.55888694146
40000,1962.4073456402257,1856.6837710275715,8,2075.9060779449724
44000,1871.6937262226647,1059.3046069223901,9,2239.80384116374
48000,1758.5156291052697,1132.3589002371798,10,2358.876129660618
52000,2038.7805251532284,711.4816026735633,11,2474.754842414991
56000,2353.288103715087,1776.2294657201464,12,2621.4130294061097
60000,2464.860791325336,2192.1837889582785,13,2586.662769037512
64000,2467.043166696936,2119.8668377221625,14,2606.0636647302017
68000,2433.528298766737,1242.907648627759,15,2920.3745678748983
72000,2059.5929077202372,482.22374454550004,16,2659.2735242651247
76000,2459.8077659422456,754.5985575226483,17,2971.859165819351
80000,2789.557098802987,2355.554206822779,18,3008.7744438227364
84000,2345.2972247537073,1186.014457864887,19,2996.3519792682846
88000,2834.4503867249855,2720.1449514796514,20,2995.018951838866
92000,2609.9425557074196,778.3750393304541,21,3099.6335364843167
96000,2566.549223712495,585.7260028279826,22,3046.9107886186785
100000,2759.075162312511,1853.3440115806345,23,3102.3425376519567
104000,2953.7185529175126,2767.0041299617706,24,3096.4632044376394
108000,2801.8034476278194,1863.377687961344,25,3124.8293005226583
112000,2745.90187387709,1577.8101991101278,26,3163.4114284954094
116000,2636.729437438418,973.3807758595987,27,3065.092873860455
120000,2996.9964461328805,2793.4341686613498,28,3172.234337774485
124000,2630.9121421107848,1089.973059291468,29,3117.111062615361
128000,3048.0130040874446,2948.685833407609,30,3172.97818440118
132000,2996.3282506374185,2697.501574001672,31,3088.359433797136
136000,3103.2968945896246,2950.3707207522125,32,3200.8246605207823
