Iteration,MaximumReturn,AverageReturn,MinimumReturn,TotalSamples
,-0.14434496394245758,-55.912991984966695,-104.15972590268848,3332
1,-0.06241295200370586,-0.15842460188554042,-0.5101735456467125,4998
2,-0.027505995595930328,-14.08231457458363,-62.266820193408236,6664
3,-0.01418180470305138,-0.05704583919691482,-0.15129897523537314,8330
4,-0.09395413402916916,-11.846008388932121,-37.334677647015425,9996
5,-0.24634677649920866,-41.54314622868856,-90.3196109884312,11662
6,-0.03995979214751823,-0.4226977847343112,-2.4150561340224694,13328
7,-0.029268671082745737,-3.8007195105863136,-21.77129672025242,14994
8,-0.3781887238440472,-41.530290659543056,-58.67322330966531,16660
9,-0.016736064084443857,-0.145176425839649,-0.9810560909296566,18326
10,-0.03612521021634807,-0.3356627360118686,-1.39852375944603,19992
11,-0.02605447493933394,-0.12102980633377293,-0.4747924712815349,21658
12,-0.05448370650990736,-0.3491027177965556,-0.7982067320044125,23324
13,-0.05736778636366634,-0.3727689413517051,-1.0277635408080026,24990
14,-0.09627201878520923,-2.109152815110876,-14.371495487727334,26656
15,-0.05388391500536245,-0.9763692012829075,-10.740835327373231,28322
16,-0.03278662502498976,-18.35322325895588,-111.57631398409603,29988
17,-0.06979843116482458,-10.270352059276465,-50.83983809485848,31654
18,-0.042135653270494254,-3.790493231236559,-41.97657688601707,33320
19,-0.11357029321091999,-2.7722309598569352,-14.295925103967692,34986
20,-0.03808429814029798,-27.66971463463231,-80.20925061365693,36652
21,-0.09738299947803879,-1.936175672332176,-16.96730445645835,38318
22,-0.05152859647939502,-0.36501460384475126,-0.7475872103339418,39984
23,-0.024090380714867396,-0.10394509622653429,-0.5462383834270081,41650
24,-0.021584805088728152,-0.5532330785664012,-3.7006831436694205,43316
25,-0.023861911173296717,-0.315679292006918,-3.054413615692644,44982
26,-0.04030386324576622,-7.4785149536478635,-45.070209823329826,46648
27,-0.25898403199562475,-77.09949310157255,-154.99711124144574,48314
28,-86.75755946027051,-127.86968927415211,-162.3694818911812,49980
29,-0.029363152020940975,-4.595833273258997,-88.9445586107585,51646
30,-0.11469282407528304,-0.8601392215522448,-2.239777965436676,53312
31,-0.1632299997447576,-14.08019449863555,-86.93372135876574,54978
32,-0.09275384566819862,-2.606458220228329,-28.26456314704522,56644
33,-0.19245157259702517,-64.63045254495732,-149.17143106098905,58310
34,-0.10717399603398771,-0.37494155356526043,-1.1033028333724377,59976
35,-0.08271856937247316,-1.593352847363447,-27.07133111564983,61642
36,-24.756409872065735,-93.7825354815587,-155.60390590208158,63308
37,-0.13361729208829026,-11.129809783655404,-152.75490274280534,64974
38,-0.12942227616955682,-9.77058039551589,-144.6268345570726,66640
39,-0.09033140885220203,-1.5556086225681347,-19.717945835440077,68306
40,-0.07708703970086274,-1.1224828695120066,-16.314892080841982,69972
41,-0.12909387682961504,-0.3470680404640262,-0.9647521401017523,71638
42,-0.094319509076679,-0.3268282936326311,-0.8890114630122008,73304
43,-0.3261743941568007,-31.340137916274333,-86.26188031293968,74970
44,-0.3222851765256305,-26.17866335024225,-117.40022891207862,76636
45,-0.06884061813260975,-0.4149926223941122,-1.1266435488134234,78302
46,-0.08668444901039571,-0.2751197556764691,-0.7477571453502858,79968
47,-0.12043676600280014,-2.7344310614340093,-43.7288280211238,81634
48,-0.11660267409803088,-8.287576074057478,-68.57413911081409,83300
49,-0.22495780033717583,-9.225974755026517,-66.17589661174303,84966
50,-0.2527548373826339,-18.32325369809859,-83.68168152690114,86632
51,-0.06975195438837223,-2.404859406765793,-17.23400359032544,88298
52,-0.19976840687134528,-0.842541783347672,-3.0693498559014385,89964
53,-0.0936689849084159,-10.870922434117778,-64.94685687143375,91630
54,-0.3204711648171304,-28.6000322779654,-133.5363626223338,93296
55,-0.19877138054023546,-3.0840075285123767,-43.60555060656619,94962
56,-0.28879931296417494,-4.720822336954133,-101.16413653518426,96628
57,-0.31111021312883874,-51.46037816857581,-122.48511967602246,98294
58,-0.11230211279536761,-7.139247244576941,-68.55402313780142,99960
59,-0.16577522267663244,-2.402134545885348,-36.491762467539296,101626
60,-0.17664723883839106,-54.21593592709023,-147.08066123990253,103292
61,-0.11750462955186115,-0.6819753455052827,-3.1921791138182987,104958
62,-0.12214818507474766,-24.305779086952448,-87.38490568800304,106624
63,-0.1519473285226161,-2.7003097873138135,-23.75818236617409,108290
64,-0.049826671218736684,-58.953545372674206,-124.78994676583831,109956
65,-0.17126423245842934,-78.92762151668357,-136.47930706968978,111622
66,-0.16486896843194415,-77.82367781235149,-134.37426016404999,113288
67,-0.39844792569376086,-90.49133319543283,-146.49670103013264,114954
68,-0.28619477108582925,-104.55842740977356,-159.68397455221097,116620
69,-0.6485939041473128,-49.27778907604853,-118.65670646061764,118286
70,-0.10954562725285362,-0.562229577596651,-1.1058997960233714,119952
71,-0.0849672399677528,-0.5513104264122571,-1.2910548772229369,121618
72,-0.05263008070422825,-0.5483531417276121,-1.5253803270346542,123284
73,-0.06744955483557827,-6.461844498551829,-55.58865360317608,124950
74,-0.07426189379024022,-0.3433285000563389,-0.638592047910549,126616
75,-0.07349897963496436,-0.32046024645136756,-1.05068796892091,128282
76,-0.10995263013570722,-3.7818341535592914,-86.75491150729663,129948
77,-0.12478140580130474,-22.558816668523324,-79.50280984469232,131614
78,-0.2771595709676778,-16.740535621430695,-66.7180863739853,133280
79,-0.11811010480793903,-10.39646542954316,-80.43990772611782,134946
