MinimumReturn,Iteration,AverageReturn,MaximumReturn,TotalSamples
119.6168068320535,,178.06540880949345,199.1669710976082,6666
117.81320132321136,1,170.1994940602719,199.29285466402982,9999
138.39780222385812,2,180.86867058681185,199.26851886715852,13332
120.21703516395299,3,178.2781287569245,199.33710531962234,16665
127.73096077377507,4,173.3944477815628,198.45681608138509,19998
131.58053182710884,5,175.49334187262264,199.3698250887444,23331
107.04026823833841,6,173.31172494075068,199.12417091117229,26664
115.66399083255428,7,172.7568491786623,199.15158046213014,29997
118.31023643889368,8,169.11413845500118,199.28449546332092,33330
124.11849176234053,9,171.23841274418842,199.0953835839623,36663
114.52258040016075,10,169.08648591941883,199.25880580701772,39996
117.20224091259288,11,165.69050324618547,198.3863279204185,43329
116.1476519590685,12,173.43395519740946,199.2007216659582,46662
131.09525663039724,13,174.98691371687568,198.71105029934847,49995
116.26241400775261,14,171.94104227870702,198.88070468281614,53328
113.7796154318534,15,162.75940031416172,199.2415465578085,56661
112.01902833460863,16,163.01310940574996,198.34412863473693,59994
116.6010914744898,17,171.5152298985914,198.5416484077595,63327
102.55420264988264,18,164.59606456625707,199.1166050572393,66660
120.22671135647948,19,177.37572659771652,199.19158868128153,69993
125.28317393312646,20,175.67398036573113,198.55744717365337,73326
116.87207679941922,21,173.74255638193983,198.81489614508064,76659
99.11643486749733,22,155.34976779177376,199.14420763893898,79992
126.64764688078394,23,177.37410855496452,199.18304355854517,83325
118.48528449791064,24,165.9735517845551,198.77847314180693,86658
125.41615166087846,25,174.03619650574663,199.20202862607906,89991
144.68669292164645,26,182.444224083423,198.8500580017066,93324
108.75070159177245,27,164.69549082040194,199.28797086956826,96657
134.18066036828878,28,180.80054872491755,199.31617093269077,99990
117.697855229908,29,172.74448953636943,199.03303082808654,103323
108.65517716097575,30,178.76819023868578,198.50859140545975,106656
125.11984277214107,31,175.28735347525995,199.03203318356233,109989
128.4216031839786,32,175.29002602700456,199.15693725412663,113322
136.24294444115188,33,174.28858418050766,198.40568953583406,116655
116.31006207666715,34,174.56754512599053,198.9164274626328,119988
107.57249522428074,35,164.68894387050852,198.26646840078996,123321
112.1653580757554,36,164.11023648355913,197.68532036127957,126654
107.73904637421934,37,170.02810376058704,199.0039935226256,129987
113.98705672058361,38,172.5625375990903,199.10689591928636,133320
106.3201413488124,39,170.22946153361553,197.78528909637527,136653
