MinimumReturn,Iteration,TotalSamples,AverageReturn,MaximumReturn
-26.447966961831636,,8009,-7.430029002979869,8.708223303216709
-23.88707830067539,1,12010,-7.6342473852824595,12.590363933825175
-26.085391158678632,2,16014,-7.673434582819215,10.69024742058877
-23.9637067556897,3,20016,-7.552789231352214,7.363872936999561
-23.705409544477615,4,24024,-7.985370171705464,2.811897415336108
-20.58618466874583,5,28028,-8.197577898618908,7.091205734234001
-20.44644018259938,6,32038,-8.691859968837484,7.8095804802863835
-19.966286924614327,7,36042,-9.173551933969724,0.9808391350681362
-23.193877951486158,8,40046,-8.800598740404281,0.36412030858938493
-19.66284255815035,9,44052,-9.583074196610141,0.5151055335016848
-19.732282237190883,10,48061,-9.29887855766166,2.9206357619448555
-21.048435496300655,11,52061,-9.022613013082704,6.110821014471097
-20.091575553839018,12,56064,-8.939878416078042,5.710829844918397
-20.16361568310355,13,60071,-9.146225086410423,3.367641451194692
-20.565042489255156,14,64076,-9.450046947984237,-1.4572784734295459
-19.49238992729802,15,68080,-9.358122518106148,-0.6585885452724933
-21.61427982331777,16,72082,-9.349499548106369,1.1042922970889575
-37.22102803178107,17,76092,-8.920075665703477,61.993390273962376
-65.25272589380397,18,80108,-11.693829093522117,62.57027755037584
-41.90152249130628,19,84132,-11.321635822325101,64.86534413496331
-49.162988261963385,20,88132,-10.847220832470244,68.84308443270461
-56.43083083040521,21,92139,-9.51902781506816,73.72143530179879
-68.27016759217722,22,96179,-11.29371384731212,80.73718018813258
-47.793729246348214,23,100194,-10.674484652248609,49.37305525287956
-50.40152639566558,24,104234,-10.627251081471952,82.60365134491403
-53.307066925942856,25,108269,-13.193061908190908,85.6024654081769
-60.19866068510839,26,112317,-13.70295184439234,64.99616974050868
-50.126293129553076,27,116325,-12.685372740679966,30.991519316950217
-50.63607340058159,28,120359,-12.315936861220727,18.552841922014217
-44.450190369803444,29,124396,-12.711885546572619,86.90222544697751
-43.470524195808885,30,128415,-13.927411487146179,59.393250721970034
-47.059932453289356,31,132425,-11.664877358856295,118.2280712416702
-51.61587262317566,32,136435,-11.936034025107741,55.288193522932765
