AverageReturn,Iteration,MaximumReturn,MinimumReturn,TotalSamples
3.9551472453738867,,14.807070349657335,-8.949759421205007,8000
-4.447828884388891,1,11.340660353931892,-18.393055855621494,12000
14.125991017996052,2,26.681228404152947,4.27607479388859,16000
69.02148457832698,3,72.23574361251892,66.10246762487029,20000
41.63318935158034,4,49.05095846365813,32.56465300715261,24000
66.40120671241533,5,70.39699449236532,61.87271785202733,28000
45.54569569823031,6,50.4011701652863,41.26325922531848,32000
48.92545727111436,7,52.205877711927776,44.71609802140078,36000
39.02824199873091,8,42.52069149079574,35.96198640414331,40000
50.875921474581325,9,55.43530701180224,42.042346692304235,44000
24.86741913948575,10,28.35915758431911,22.67874407704735,48000
101.48160302122533,11,113.49515900726796,92.70408998940661,52000
183.47033827252565,12,193.75391182560023,167.13356698475462,56000
133.02068182382146,13,142.27684307342918,104.96375352572447,60000
289.9017895841532,14,302.8684355847978,281.18530060402395,64000
295.74834834882,15,315.91944739071965,282.6784175968381,68000
305.58099093191214,16,314.3942652642541,296.57231225412187,72000
310.65227858417785,17,320.1383594498339,300.7757206705853,76000
309.74044086791235,18,313.53142354465047,307.3620542047804,80000
301.88654781703326,19,308.59305235533924,295.6384228781633,84000
304.31033823341755,20,308.9763433233597,295.0580430528738,88000
310.9534025839759,21,317.01596767940674,306.59681029392374,92000
315.35689218418065,22,320.6599111941351,308.41839244270955,96000
317.3068806307449,23,320.8924752539548,311.88437420993756,100000
325.33517635936477,24,335.1508182744198,317.6509919747201,104000
326.4861018079144,25,329.1611309547482,323.7015924521233,108000
326.06820091720726,26,330.3358118920715,323.05844355621264,112000
328.51063913195986,27,332.33800606318187,323.7937575846135,116000
325.7260803770514,28,332.18703215792164,319.68857240321233,120000
319.2765952765294,29,323.9606794782733,314.9542244886734,124000
325.4872033041334,30,329.18920001563305,320.9653995502822,128000
321.858927472738,31,323.4477115513057,319.644761317343,132000
318.9949404290693,32,321.2012322835236,316.88241319055174,136000
