TotalSamples,MaximumReturn,MinimumReturn,AverageReturn,Iteration
8000,2.856494645430434,-24.522201282738273,-7.46989339023524,
12000,10.158489213150528,-0.2486749765367648,5.668991288112781,1
16000,6.80673482498789,-15.887329134637763,-5.3090740650596375,2
20000,20.271653778391578,-24.662855632204185,-7.3182867176351465,3
24000,19.08606969178507,-21.656229769288625,-2.124152630357573,4
28000,14.09289903485081,-22.69660820816101,-5.270662631857683,5
32000,19.065334361471447,-23.063125749854652,4.5281114844045,6
36000,23.068883095418922,-20.963498092698142,-4.167213157865579,7
40000,19.52269393829013,-22.051280468434094,-7.778068895412954,8
44000,20.14947827155851,-8.94887345335234,8.518340788197863,9
48000,13.850655129820241,-8.239475629026208,3.213286592591455,10
52000,4.595785215138127,-13.096808795161236,-7.34167703381594,11
56000,21.21082870913525,-15.650642423949424,4.022124715481687,12
60000,17.99410831307443,-13.278075013448712,2.5369883699797064,13
64000,15.803249221902599,-22.057188173974406,-12.310138292706709,14
68000,21.6267414290612,-15.318908535919368,1.7387872312091206,15
72000,14.081610353777043,4.421136028606875,8.251499718171624,16
76000,19.290400714771213,-12.10172717444113,4.893698216778131,17
80000,19.648713845271164,-14.943481770939748,-0.2686244409118818,18
84000,21.74656507659246,-17.89963670089057,1.042522823745309,19
88000,20.349081099439598,-22.995164131594464,-2.280101564089945,20
92000,20.59692149727309,-25.85062351819724,8.119642193203886,21
96000,13.605082514018875,-24.536192728752855,-5.8234280249899255,22
100000,17.969347052069388,-17.800936735984763,-2.3627705241888646,23
104000,19.489115184852395,-22.106770664399473,2.7786191169142445,24
108000,15.967555453597308,-17.95735217685683,-3.08021774732647,25
112000,19.635040685828663,-23.724510005148634,-11.699553720012451,26
116000,26.411558022353073,-16.664094023026173,8.455915133109093,27
120000,21.209083689141135,-20.008132858032287,5.786330447576856,28
124000,21.09037528037603,-11.517577617316341,0.9734356642775747,29
128000,23.090916421893123,-21.391499956950085,2.247536200115307,30
132000,13.223604348060444,-22.780270289297924,-8.970628665834852,31
136000,16.449558439488314,-20.449423329152605,-5.243825710112114,32
