AverageReturn,Iteration,MinimumReturn,MaximumReturn,TotalSamples
-1829.094660556281,,-2218.939630133327,-1235.440383507493,8000
-974.7574872326412,1,-1789.3425957994891,-439.236031946756,12000
-1345.050880259949,2,-1807.4308576051144,-871.8370668740255,16000
-1398.2766160348322,3,-2956.1476911850077,20.487894127264102,20000
-1259.592447496985,4,-2531.196651489574,-120.59585011873683,24000
-378.3344973922078,5,-1748.4605367916072,997.1510143238617,28000
867.7436726406468,6,-42.16688028869945,1596.050726053116,32000
951.7821809769006,7,310.5455334409873,1392.5960675626409,36000
776.368685695201,8,232.8838002805287,1916.8038040264962,40000
808.794958822369,9,-1387.7846728085144,1951.1184400344828,44000
-996.8317763919644,10,-1973.9229823626258,-76.87079652829155,48000
44.92979058372784,11,-511.9424319467363,1054.0971428077173,52000
676.3621864354109,12,-100.02152162072503,1366.4490213789725,56000
745.0613852528053,13,-1030.8284912179236,1976.0505437258857,60000
1702.5163348000572,14,1002.8977248092106,2291.5132365312506,64000
519.3416675861167,15,-1570.3662646525017,1996.3014179317001,68000
707.9570308394035,16,-1453.8062999413357,2662.511353347282,72000
1407.852043708984,17,-2565.2507516786513,2646.504360611053,76000
1285.341822357841,18,-902.9465358553016,2454.505855246228,80000
1708.8151028835246,19,-1002.325949022735,2771.350688974162,84000
1652.0854388801408,20,1021.3308858260004,2190.964228961152,88000
1113.6188224487366,21,-327.031864869101,2493.7145133822487,92000
2183.6462608847637,22,1930.1788522338634,2365.0747099934915,96000
1993.0119795204293,23,1419.0545467062007,2745.098896918899,100000
1871.9311314750628,24,1199.786976561105,2359.074796503047,104000
1795.046322118638,25,959.1217330874484,2180.758974124297,108000
1779.677690672527,26,-98.87691103540497,2628.3188762330424,112000
1455.330918322313,27,992.231611497481,2107.8704795213903,116000
1775.7971300754643,28,1084.1771452608054,2406.3781496191627,120000
1414.1782410914093,29,-320.0443560892333,2330.9434421785486,124000
2014.5839778146292,30,1540.7512601243168,2252.1732658582982,128000
1538.1128690025816,31,-141.65080747714305,2451.7255061145106,132000
1358.5330619877343,32,-253.31664784215027,2569.4070688105494,136000
