AverageReturn,Iteration,MinimumReturn,TotalSamples,MaximumReturn
-2822.31460728703,,-3280.5562817165555,8000,-2222.064462931726
-1861.688623452249,1,-2981.0872951169717,12000,-1280.9965144046562
-2140.4627648523715,2,-2672.7936772919056,16000,-1664.70728604508
-1961.40243252693,3,-3163.23994529432,20000,-1023.0286922311606
-1210.5192076353649,4,-2080.451159355235,24000,-227.1763295769795
-1116.3531057934927,5,-1513.2300786819196,28000,-832.8029105434412
-213.54862889031423,6,-798.518781019278,32000,557.746497262701
152.45883752687433,7,-121.88954406490139,36000,775.0249476413804
177.9876493912203,8,-207.9085113404329,40000,386.37052173018145
335.39627023685506,9,-130.01548315762602,44000,925.3237222605388
-707.1864008942698,10,-2311.351664731447,48000,179.31384720523087
-109.71074309973767,11,-3073.2147469858596,52000,1058.4758061275068
-616.9506511880631,12,-2551.718976141488,56000,1030.6758671218122
844.7972625851991,13,235.51946189839697,60000,1277.1308424106792
825.3193772342908,14,445.90550559331416,64000,1265.2249274161502
944.4626336516641,15,548.1762615137337,68000,1308.5284732222742
335.08704151340635,16,-2962.710356759057,72000,1417.1850482857155
1249.5983022536557,17,1035.9860935535314,76000,1700.5987361235198
1093.696321772385,18,525.4902706070259,80000,1579.0136350582252
1027.383417074555,19,552.153015203406,84000,1650.8187132322994
635.8607020545322,20,-2597.9105453054044,88000,1514.0768882397813
1242.2361200316675,21,997.8002233700319,92000,1642.9153583666591
1587.3719625656756,22,1505.7816076383722,96000,1690.0058420590344
1568.9207812392035,23,770.2066321808503,100000,1826.1118764354103
1592.4591893770528,24,862.3566103912794,104000,1958.2945422381472
1359.6566690004468,25,569.0711867140803,108000,1834.438102695214
1903.9904626022496,26,1264.4101216064755,112000,2216.43883401606
1550.3620461246512,27,-951.0765194693993,116000,2370.6085781513207
2167.5552550862303,28,1998.6557511102608,120000,2426.5726571135415
1791.5214679069443,29,1715.7116275699907,124000,1890.4759240930061
1828.3239390363906,30,1779.9633254284004,128000,1867.9419925557497
1924.8583057166318,31,1837.8401795013456,132000,2001.1430849489007
2036.5931758803745,32,1231.8875463465529,136000,2507.35459052351
