TotalSamples,MaximumReturn,MinimumReturn,AverageReturn,Iteration
8000,103.35365530330282,73.4644132434984,83.94100919898396,
12000,45.527939590337596,24.046111529974183,31.948295603787418,1
16000,242.30551423650294,219.72390923448862,234.89729823295713,2
20000,264.29517440574625,254.502850150444,258.44771471173664,3
24000,217.3697800910378,210.27758248664588,214.41733291594025,4
28000,193.20960207646604,183.6994434144781,187.50485800452097,5
32000,158.46367191066554,141.19641282297093,151.60700196931575,6
36000,185.54836976306532,171.18082308444284,180.92886466790483,7
40000,184.31668013093713,165.98748461881632,174.67146063208313,8
44000,144.31164249666625,133.8867210273237,137.36661539081697,9
48000,127.44424941482006,108.8459157120817,120.89144827014034,10
52000,153.07982445847028,139.04727751190583,145.5490125422841,11
56000,148.82371452157017,137.2425676735539,141.71308249368587,12
60000,119.63137485175127,106.12895324465771,115.4055389367707,13
64000,137.69069687110434,112.98199193644024,125.85817011088149,14
68000,135.36942041585735,113.74067406957444,125.21379009491666,15
72000,139.96507907281935,124.90395298913111,132.11847303167153,16
76000,151.69308375947767,138.0948373484636,144.0744347067488,17
80000,141.00173837326867,128.5179875820921,134.77197987339133,18
84000,123.31249544385764,113.20401933288821,116.68355110807126,19
88000,127.04717086961146,116.41503280699169,122.32328733265975,20
92000,190.2245468454355,170.7469440359998,178.78555948803546,21
96000,268.4038698962461,265.2798193304682,266.4644726332064,22
100000,255.74803606413772,244.83274077380514,251.45933796984295,23
104000,248.18198979155912,242.25719155442098,245.65952917815227,24
108000,237.43680973020315,231.67483769533305,235.42177786013545,25
112000,236.14273264259532,226.70728894776548,232.269204902373,26
116000,225.3797350334822,217.34407173915648,222.10051279237493,27
120000,234.84230981361716,231.50785290076067,233.09525371000294,28
124000,217.36308128493562,212.0736123263139,214.1627759462706,29
128000,217.11134240281942,210.21515315170424,212.50636344612295,30
132000,221.9396000883766,214.99665284141014,219.07376614287367,31
136000,208.16873475891316,195.18272079532733,201.58363976945407,32
