MinimumReturn,MaximumReturn,TotalSamples,Iteration,AverageReturn
-2575.05314355536,-1225.078599287853,8000,,-1907.8027321985685
-1568.0437985166034,-1177.451084182748,12000,1,-1400.278562351564
-996.6562429586326,206.21221390064196,16000,2,-547.7184095947415
-919.3473776792167,157.98471595403137,20000,3,-516.1178319702094
-1489.3381254425003,-175.9094415351157,24000,4,-789.9125990574472
-1293.7827684554595,446.19424534980493,28000,5,-343.6993904060891
-1622.33192074829,-488.88945180630895,32000,6,-817.0297606843461
-1702.98436134222,559.0410865034545,36000,7,-566.3233550196748
-1117.9863583148986,462.06353981145577,40000,8,6.9970969886067635
-223.11540605957018,729.6574071034078,44000,9,193.71331282550784
-1861.402417749938,421.76009497128945,48000,10,-499.3524778419348
-1706.2333695914012,1026.78989850599,52000,11,128.33110534978843
-973.2550138162496,1009.4055708386663,56000,12,-94.97690403177079
129.604846006526,1257.751700287261,60000,13,464.13559434389964
-1209.4799747633708,1030.526918552002,64000,14,17.525110106957374
-505.49284064229676,1294.1264569966088,68000,15,425.6125749224641
703.0618341168436,2166.2548051487165,72000,16,1567.674931194552
1001.617053379727,2330.8067609826617,76000,17,1464.5464184624752
-148.57908789311364,2164.6391286069893,80000,18,1440.5730217843911
796.78137138354,2559.2177428813334,84000,19,1868.5297359552844
1759.919687742043,2186.7741890784023,88000,20,2053.9782683007966
1362.1304797324303,2513.857242767351,92000,21,2193.3699447708773
2014.8536170636223,2618.0853181240864,96000,22,2296.588582957358
1567.3794028125164,2571.9177922326844,100000,23,2147.1349259367557
1998.5417767882786,2934.015399543492,104000,24,2371.5324447167923
1831.5302722982942,2904.3034880211994,108000,25,2554.7968403865516
412.6334236421107,2613.4388067362743,112000,26,1379.7164298119048
-166.45596815323583,1341.4287561753856,116000,27,616.1429829942871
-342.9551106335113,1246.8381405574532,120000,28,579.059226319818
-271.17515883300484,97.59327733741645,124000,29,-87.37761584788232
-238.0133527272934,1005.6186797110395,128000,30,604.4626606856572
-439.31355146469076,796.0350249394132,132000,31,138.50268443042867
-273.90545291131014,1587.6990030388156,136000,32,613.5782520210261
