TotalSamples,MaximumReturn,Iteration,AverageReturn,MinimumReturn
8018,33.00147565781998,,-6.552957286594605,-20.940077436713214
12024,48.035789653867,1,-6.389669475112022,-33.1817623960871
16030,46.28026902410067,2,-6.2400718632423935,-23.790854387450334
20032,30.3718484437989,3,-6.749554258715285,-22.36799213184744
24050,55.96949917212258,4,-5.937855520806502,-20.870804376744417
28054,33.13491016859988,5,-5.456205349270637,-37.49747111929531
32064,46.12623572345309,6,-3.7475225717703915,-27.43335261380296
36080,34.29143811084696,7,-4.635420046916441,-22.348507280772854
40081,28.23322891099851,8,-5.606724814039082,-19.195013828403717
44086,17.29246126047296,9,-7.113986355784363,-19.682806025268647
48094,42.11189033867173,10,-7.124167667749267,-21.355978522840065
52107,25.254650411708,11,-6.676301692468848,-26.99353628489789
56112,11.34992919342756,12,-6.132236446974497,-19.802527374389392
60124,20.105848281689326,13,-6.530787599543493,-17.512278453825417
64125,25.941268765413934,14,-7.139332283291229,-19.288579210160577
68127,18.570667324771357,15,-7.488329081289865,-18.80278922648499
72127,9.163053630124624,16,-6.737152006430073,-18.910834181738725
76129,9.099857386192506,17,-6.207233521679546,-19.50379794754441
80132,3.6899698692997926,18,-6.704470029119526,-20.554756210374002
84137,12.611400627217405,19,-6.916451616564188,-18.234113010676246
88139,7.726125333928508,20,-7.421852051320467,-22.57424807141
92144,7.4805460280888365,21,-7.554780182230821,-19.77151090770464
96144,10.028872689952388,22,-7.590630912347642,-18.823701390555367
100145,8.194619429909602,23,-7.557211198254368,-20.32616914289273
104149,6.153149687621718,24,-7.596517213940205,-20.900510009510473
108149,18.453898272761013,25,-7.6188789302308475,-19.701766293129435
112155,8.208148427927666,26,-7.154741785220843,-20.102218231385457
116158,10.582678357583887,27,-7.303765184791976,-20.328781072368734
120162,6.287749945346723,28,-6.454515259554703,-19.58930348797045
124167,2.110845029901832,29,-6.763691385238999,-19.804124099893787
128167,1.7628937682001717,30,-6.685101953710394,-18.940017720395275
132169,1.252590908406,31,-6.565400695053352,-18.26040883139003
136177,8.16300923407775,32,-6.369145423214626,-18.357790759155844
