MinimumReturn,Iteration,TotalSamples,AverageReturn,MaximumReturn
-24.72472249720154,,8022,-8.727567945743253,16.258796822250524
-24.508242375647843,1,12023,-7.956116124465131,0.25235269340397504
-23.84787222697596,2,16023,-7.784095623183888,-0.09120984013939015
-19.82915680886945,3,20025,-7.64270855459776,0.16739538705489365
-23.18449794694932,4,24025,-7.253999457676315,3.1229890789557047
-23.47137527697216,5,28028,-7.774212564529211,0.6700441009755125
-21.882931460957337,6,32028,-7.407899729874004,-0.7593773744991066
-22.30237930018481,7,36028,-7.285418551101337,-0.8351317235677551
-22.827527346249546,8,40028,-7.22134667005868,1.720943040395853
-23.946786177897298,9,44033,-7.73138986833156,4.07935418839067
-22.267595003515613,10,48039,-7.271781142217584,0.5748826717736768
-21.23125617942936,11,52042,-7.1966104628652054,0.3468253780329307
-18.954673963365543,12,56047,-6.9181034650506685,-0.9464776784546372
-22.374258150397946,13,60049,-7.128216936554246,-0.7156502073606037
-20.187105218063422,14,64052,-7.000866896856787,-0.8996323941095805
-18.674501954156717,15,68058,-6.835046228090503,2.4327343808992845
-21.50950547819019,16,72060,-6.922608307188318,-1.0595786317053832
-21.396342546004796,17,76063,-6.952241390357556,5.241972162862556
-27.69791578650506,18,80067,-10.428961874183265,0.5157669541557212
-21.68699593373421,19,84069,-7.072242642064308,1.7211100858164667
-22.16982083460277,20,88072,-7.34923250351276,1.488453593149286
-21.943203003593432,21,92073,-7.686593396401333,-0.7424499535141533
-22.616418606236326,22,96087,-7.313568537864196,-0.9999422219793066
-22.6682787106078,23,100090,-7.498470488944473,-1.066773863302085
-24.18934174787595,24,104091,-7.754705312951586,-2.2054777225539897
-23.44717196710263,25,108095,-8.021844344922666,-2.2955413519112087
-26.387126109129365,26,112108,-7.954103219300627,0.45948648984851626
-23.172833916747393,27,116111,-7.547898603827777,-0.4355600617673896
-22.500537122374986,28,120111,-7.164428647110122,1.0220212646818607
-27.722965006390993,29,124113,-7.585487098247595,-2.7536044323056608
-23.979535836319695,30,128118,-7.432529872784357,0.3296707176434319
-23.21409737176236,31,132122,-7.442206201292977,-0.05902497497018189
-20.260778322142027,32,136126,-7.395632709344742,-1.1574567807956226
