MinimumReturn,MaximumReturn,TotalSamples,Iteration,AverageReturn
-2310.4245782017583,-2125.9637692342217,8000,,-2235.0521922919756
-2194.309072317879,-195.00081579249186,12000,1,-1220.4611737070015
-2350.443834295216,-371.02818035340766,16000,2,-1105.69510049994
-2287.85615809532,-178.897288957347,20000,3,-1066.079737330908
-2621.7362828404994,-142.80660105212027,24000,4,-1411.4436501400266
-2279.154959477638,-740.044202515037,28000,5,-1268.0664197714852
-964.5865856546086,-382.0690412820811,32000,6,-696.6324553092778
-783.5048782088704,46.967068892126846,36000,7,-472.24052939066723
-790.9834062226955,47.84491620609951,40000,8,-387.93661583238355
-1560.8401193658199,-691.6487466879585,44000,9,-982.9448142938654
-1092.6571026499216,-298.02523830061654,48000,10,-708.5720441910722
-1679.3492464800077,-29.342949344705897,52000,11,-766.4334929240634
-863.3960978797669,-433.21207098269946,56000,12,-579.8614057388644
-197.13755049973793,384.295059218545,60000,13,132.80661147385374
596.4277879235611,878.3893079314589,64000,14,725.0487701083244
-640.2686561575645,1040.8553717940501,68000,15,585.2214267792496
1035.84545655312,1916.5986612007712,72000,16,1515.6243459599282
-420.25633414273375,1595.6127084505133,76000,17,1133.3033629592371
1236.8161361543314,2076.4848097370245,80000,18,1640.548036738265
118.44113325430686,2127.243707978355,84000,19,1620.7143387893818
1708.0316711185512,2330.6022328848053,88000,20,1949.8853987317407
448.25657021207917,2164.93861054555,92000,21,1611.6183715134687
493.1684984521862,2010.8840018868025,96000,22,1599.5717307458842
2033.430753723104,2423.706339408752,100000,23,2202.8921704696386
1848.401243562294,2398.2530102097403,104000,24,2072.811004576035
1793.7878890738887,2738.327629453538,108000,25,2281.06938432792
1800.6894344050943,2633.7839509224486,112000,26,2266.8236515414414
-2132.372089437313,2367.2102657452533,116000,27,1254.2676938069674
1673.2304306229294,2316.212211941889,120000,28,2034.7778697325068
-2343.1702484780567,2359.473078521956,124000,29,1296.9546720090086
177.75036919779095,2663.752407221424,128000,30,1366.0522171301407
230.60806747631142,2440.0228906704124,132000,31,1760.9888261087378
2022.5939864209392,2628.626729254651,136000,32,2330.388644679277
