AverageReturn,Iteration,MinimumReturn,TotalSamples,MaximumReturn
-2489.986388653691,,-3010.0740032871768,8000,-2121.6234283850195
-2357.893500539732,1,-2384.173356028556,12000,-2325.6196299190087
-2255.7188842973114,2,-2340.2397520438735,16000,-2146.7399646089484
-2650.849570026296,3,-2774.7745185576687,20000,-2419.70425171682
-2729.050910761688,4,-2745.460345506328,24000,-2709.522501775773
-3419.4035525194317,5,-3464.9443793411665,28000,-3354.9071998997365
-1685.9232812366408,6,-2094.061010648834,32000,-1495.7741814524568
-2312.177862928993,7,-2352.5488446450336,36000,-2257.9849863909226
-1701.0996914162145,8,-1883.2192837106431,40000,-1607.6073068214416
-2332.680437634625,9,-2379.85353606439,44000,-2242.311939149028
-2039.942665070351,10,-2116.9767507699703,48000,-1998.3304169577302
-2103.3007192550963,11,-2157.9623458063033,52000,-2051.0289922508146
-2098.7460481460453,12,-2185.6533020182687,56000,-2069.0992969956283
-2047.857720570155,13,-2252.6521888988973,60000,-1907.1902821538163
-2157.4265815745525,14,-2189.201529357287,64000,-2104.126298271432
-2254.634439701878,15,-2320.6387153895607,68000,-2153.1243151293606
-2201.353269106947,16,-2356.0809721055753,72000,-2085.9702406039632
-2201.119389048947,17,-2249.7838770499616,76000,-2167.364476258239
-1944.1285239576025,18,-2256.984207117519,80000,-1525.878224202735
-1735.6332446738113,19,-1959.094368455822,84000,-1474.7251761551024
-2041.7512754473198,20,-2175.0691718847097,88000,-1877.5688238736905
-1549.6984614320854,21,-1849.9922425488253,92000,-1402.2560877642172
-1555.448982105783,22,-1738.7621903863578,96000,-1410.0830639789042
-1348.1575140349617,23,-1658.371149220933,100000,-1003.5935197375463
-1875.3531813516026,24,-2074.382793873009,104000,-1249.8263998256127
-1829.5366603134441,25,-2105.2396262181296,108000,-802.2717669547638
-1612.0449463366647,26,-2357.9667529734775,112000,-372.0039225430459
-1583.918674646433,27,-1950.4867427917309,116000,-779.8797578905804
-1612.705418196694,28,-2551.9605162758007,120000,-1168.6116745202185
-2109.73142494977,29,-2705.654611625301,124000,-1467.8631470799685
-1616.511110510998,30,-2536.895803724771,128000,-1144.0535065018
-1755.8076094261442,31,-2056.1099460420864,132000,-1526.1870875219595
-1370.3782071704845,32,-2172.921880145419,136000,-302.0532813665851
