AverageReturn,MaximumReturn,MinimumReturn,TotalSamples,Iteration
-305.24924149503767,-257.95792921790115,-376.99466737056,8000,
-219.85429592279638,-182.0731379673064,-273.9474101060247,12000,1
-255.5154807587346,-240.59781808632184,-273.0872308746913,16000,2
-287.8266853801693,-242.22608696720286,-329.5982293177376,20000,3
-298.8139848380715,-255.9497642953401,-343.7051935687827,24000,4
-190.42256370842827,-164.5529136140752,-237.39268078783869,28000,5
157.18118129357916,216.766573428992,87.6493683593334,32000,6
520.1977705800845,563.2275595820205,478.44320735106174,36000,7
584.3757000494599,723.9751799781284,518.6217541439015,40000,8
571.7530136395218,616.1918175169598,532.6185582061854,44000,9
563.4205165865571,604.0839962272547,452.0864896954836,48000,10
579.7945848988219,642.7400799000808,468.84546363093,52000,11
641.6532838935091,713.678586924117,587.4641139892069,56000,12
707.4421183572249,777.4740942196511,666.7490303487293,60000,13
681.0144845272827,745.4896057267282,607.8609934549715,64000,14
708.6330892293685,804.564444870811,607.0127366637352,68000,15
652.8230237537513,773.0732121941154,503.8053369493371,72000,16
634.7885336624527,720.3881416490872,508.8683984252198,76000,17
675.8860263318517,777.0387104209224,621.2124264122536,80000,18
684.7614209712974,788.4249014459197,559.1323985228518,84000,19
657.020930408267,715.1951879488297,580.1105912344854,88000,20
681.4890590778228,779.673319426478,603.5872274031126,92000,21
624.5850459474534,758.1156993179709,542.0702176801175,96000,22
641.1210078732656,781.2370631491126,537.0199629883666,100000,23
635.5718715565698,726.8082600140002,522.5210573480316,104000,24
663.4716414235274,812.2676005399633,556.7433583095013,108000,25
523.8237217802758,664.7967356884909,-39.65756249351515,112000,26
520.1316530846998,636.1173671300594,5.10175843794765,116000,27
704.6986040610353,799.5111227498845,628.5379632248306,120000,28
684.2165903289028,754.772171858752,584.6317121848433,124000,29
699.0737810553236,783.5564137739482,645.049955831898,128000,30
547.7963002164612,761.7704533303488,-238.53318835570673,132000,31
600.1214592146222,733.0736497380946,420.0238357978641,136000,32
