MaximumReturn,Iteration,AverageReturn,TotalSamples,MinimumReturn
-42.82137304941692,,-49.2716579864642,8000,-54.77196673188642
7.104558328824184,1,3.8477965228197477,12000,0.7015809095620299
-7.192574076765567,2,-11.37539849884948,16000,-14.762063173762279
15.749119446036325,3,4.192651194218231,20000,-8.900994332189002
-5.476222010265392,4,-10.699934199761811,24000,-15.16369027514173
-6.411088901986873,5,-8.096748155238856,28000,-9.191254301457606
-4.431722075338057,6,-7.14666080944109,32000,-9.729668492319599
-4.4864554279621345,7,-7.137342373951525,36000,-10.725433243044062
-7.443654682241693,8,-9.667977145896845,40000,-11.071689476216608
-9.819187738739114,9,-10.807126243306316,44000,-11.904570659927822
-7.034385535654522,10,-8.732309177164678,48000,-11.33358393310204
-7.645509431383544,11,-9.072167877594547,52000,-11.60721474526212
-5.821978482303992,12,-7.253953680312414,56000,-8.740707312978122
-6.344665883728219,13,-10.80809753350224,60000,-14.874922138053293
-0.6502096266508892,14,-4.354909137008827,64000,-5.973438445361855
2.596900004255351,15,-1.7124576426472666,68000,-3.9018103597071794
3.6334631615059827,16,-1.2329606996344793,72000,-7.192390055471957
1.0320105225527663,17,-3.7519360852164247,76000,-8.306049248800653
4.487957928866477,18,-6.544309458335299,80000,-11.785821957200332
10.34020843829006,19,1.4871492623669857,84000,-3.993693399345876
-2.9491102226683004,20,-5.22357774678607,88000,-9.092637342420213
-3.946288085796434,21,-9.71471360184391,92000,-15.414407283600083
-3.665162529125473,22,-12.968247900071622,96000,-20.087743112082073
-3.0486601666188458,23,-11.252746094958193,100000,-17.392706582051808
3.55636405108157,24,-5.23343264738383,104000,-12.440227700014123
3.8538594354420512,25,0.17818899680958425,108000,-5.3729879153173234
4.788708683807155,26,-3.798888133407622,112000,-11.328127211978325
4.535343035459348,27,-2.492611135782121,116000,-15.450839809473452
-0.15270197372712047,28,-4.372940122043499,120000,-13.389010395270272
8.608358582367359,29,-6.898780090181962,124000,-14.958070972906661
10.117145679022453,30,-3.7800557736465166,128000,-14.16528530057884
11.183900221033388,31,-6.045589303442784,132000,-16.282861115290405
4.315733102396136,32,-1.1891692999368602,136000,-4.861777013285902
