MinimumReturn,AverageReturn,TotalSamples,Iteration,MaximumReturn
-21.547738659099853,-8.455939365288087,8023,,4.278552643301858
-19.614630215573825,-8.085909771139352,12031,1,5.81898669038312
-22.07407581551513,-7.693470967277013,16031,2,4.488377750548703
-20.45032613624295,-8.002130689828581,20039,3,5.947890469276367
-20.678067279333185,-7.027942411996877,24041,4,1.8309837484949394
-18.910524763889782,-7.206623837854832,28041,5,4.821754717975766
-19.025259258533723,-7.395161352741523,32047,6,1.1318875465670977
-17.027949584308615,-7.452960488234766,36051,7,4.667823899172037
-17.61562691844824,-7.525602966511855,40051,8,1.2951208234530467
-17.51724551446513,-7.30259666639321,44061,9,0.6822492229395971
-18.189830722953502,-7.377856158034439,48061,10,2.4759177663374636
-17.688978750089742,-7.325610900912039,52061,11,1.8702605854661805
-19.13140404231337,-7.296306736941639,56068,12,0.09686398924296435
-18.930305015546903,-7.2440262536840345,60073,13,-0.7882040797240031
-21.924645135302875,-7.2045946564608645,64075,14,0.9547446528720411
-18.844312840621956,-7.041846186229092,68077,15,0.7532477832557494
-21.60858558840715,-7.353206154690739,72080,16,-0.10381132600536258
-21.39623494259462,-7.123062547170808,76088,17,2.6117983407408962
-20.866616432145637,-7.10113463818101,80092,18,3.0324420764700655
-20.787200785541664,-7.428815415159505,84097,19,0.03250240511024538
-19.623213758189515,-7.377423652951972,88101,20,1.2367496515167407
-20.156056774401048,-7.1192323996804285,92105,21,-0.8035461785891405
-21.9169537146598,-7.334398587623802,96107,22,-1.5785988688031154
-16.815872625764417,-7.226393096459975,100111,23,3.9507516551580277
-21.693801826125913,-7.2652543385205615,104116,24,-0.7522196832052623
-17.058490008790884,-7.142242870943313,108117,25,0.15588433987092332
-19.547385188560128,-7.306817757756233,112119,26,-0.691813306322629
-19.748110200239758,-7.129977619165913,116123,27,2.1431976369400942
-19.252343083975724,-7.139053735766532,120128,28,-0.9827142728536966
-20.073579454085106,-6.992259391873119,124131,29,7.958977000183836
-19.736823582775067,-6.974834139151667,128131,30,-0.5585999505806423
-22.626563913556673,-7.104233295313602,132133,31,1.8904106065541217
-27.556842529938443,-7.0718174319668705,136133,32,1.2528506254669103
